player,prob
Carlos Baleba,0.26308866087871613
Diego Gomez,0.26455026455026454
Ferdi Kadioglu,0.2532928064842958
Igor Julio,0.2660281989890928
Joel Veltman,0.2532928064842958
Lewis Dunk,0.2392916965781287
Mats Wieffer,0.2994908655286013
Harry Howell,0.22148394241417496
Jack Hinshelwood,0.2140181915462814
James Milner,0.21893814997263275
Jan Paul van Hecke,0.2294893861158921
Maxim De Cuyper,0.20931449502878072
Olivier Boscagli,0.1943634596695821
Pascal Gross,0.21645021645021642
Yankuba Minteh,0.19240019240019238
Yasin Ayari,0.22408963585434172
Charalampos Kostoulas,0.18674136321195145
Danny Welbeck,0.17969451931716082
Georginio Rutter,0.18140589569160995
Matt O'Riley,0.16142050040355124
Solly March,0.14652014652014653
Harry Maguire,0.2616431187859759
Luke Shaw,0.2736726874657909
Manuel Ugarte,0.26903416733925206
Mason Mount,0.278473962684489
Ayden Heaven,0.23809523809523808
Jack Moorhouse,0.2140181915462814
Jim Thwaites,0.22675736961451246
Noussair Mazraoui,0.21164021164021163
Patrick Dorgu,0.20050125313283207
Tyrell Malacia,0.22675736961451246
Amad Diallo,0.17006802721088435
Bruno Fernandes,0.19047619047619047
Diogo Dalot,0.19047619047619047
Godwill Kukonki,0.1885902876001886
Jack Fletcher,0.18674136321195145
Kobbie Mainoo,0.16142050040355124
Leny Yoro,0.1747487986020096
Lisandro Martinez,0.1885902876001886
Matheus Cunha,0.1747487986020096
Shea Lacey,0.16006402561024408
Tyler Fredricson,0.16563146997929606
Benjamin Sesko,0.1488095238095238
Bryan Mbeumo,0.14109347442680775
Joshua Zirkzee,0.14652014652014653
Florentino,0.24673081667900323
Hannibal Mejbri,0.29214139643587494
Kyle Walker,0.24673081667900323
Ashley Barnes,0.20931449502878072
Bashir Humphreys,0.19636720667648502
Joe Worrall,0.20481310803891445
Josh Laurent,0.20481310803891445
Lesley Ugochukwu,0.21893814997263275
Zian Flemming,0.20263424518743667
Axel Tuanzebe,0.16006402561024408
Connor Roberts,0.1747487986020096
Hjalmar Ekdal,0.17006802721088435
Loum Tchaouna,0.16006402561024408
Lucas Pires,0.19047619047619047
Lyle Foster,0.18492834026814609
Marcus Edwards,0.16142050040355124
Quilindschy Hartman,0.1747487986020096
James Ward-Prowse,0.156128024980484
Maxime Esteve,0.1443001443001443
Mike Tresor,0.15360983102918585
Zeki Amdouni,0.1488095238095238
Jaidon Anthony,0.13605442176870747
Armando Broja,0.11757789535567313
Jacob Bruun Larsen,0.11074197120708748
Joao Gomes,0.2675227394328518
Andre,0.21645021645021642
Angel Gomes,0.2140181915462814
David Moller Wolfe,0.20263424518743667
Jean-Ricner Bellegarde,0.19240019240019238
Ladislav Krejci,0.23515579071134626
Pedro Lima,0.2140181915462814
Toti Gomes,0.1943634596695821
Yerson Mosquera,0.23809523809523808
Jackson Tchatchoua,0.16420361247947454
Mateus Mane,0.17006802721088435
Matt Doherty,0.16856300042140748
Santiago Bueno,0.18315018315018314
Hugo Bueno,0.14109347442680775
Hwang Hee-Chan,0.14540167211922936
Rodrigo Gomes,0.14765596160944996
Tolu Arokodare,0.1511715797430083
Tom Edozie,0.15238095238095237
Adam Armstrong,0.12698412698412698
Bernardo Silva,0.19636720667648502
Abdukodir Khusanov,0.17006802721088435
