Player Name,Position,Team,Cost,Title,Relegation,Top 6,F1 Defensive Contribution - DEF,F1 Defensive Contribution - MID,F1 Start,F1 Win,F1 Opponent Win,F1 Diff,F1 Opponent,F1 Venue,F1 Opponent Title,F1 Opponent Relegation,F1 Opponent Top 6,F1 Score 1+,F1 Score 2+,F1 Score 3+,F1 Assist,F1 Yellow Card,F1 Clean Sheet,F1 Concede 2+ Goals,F1 Concede 4+ Goals,F1 3+ Saves,F1 6+ Saves,Score 1+ Factor,Assist Factor,F1 Yellow Card Factor,F1 Concede 2+ Goals Factor,F1 Concede 4+ Goals Factor,F1 3+ Saves Factor,F1 6+ Saves Factor,Clean Sheet Factor,F1 XP Pre,F1 Bonus Probability,F1 XP,F1 Pred XP,F2 Start,F2 Win,F2 Opponent Win,F2 Opponent,F2 Venue,F2 Opponent Title,F2 Opponent Relegation,F2 Opponent Top 6,F2 Diff,F2 Score 1+,F2 Score 2+,F2 Score 3+,F2 Assist,F2 Yellow Card,F2 Clean Sheet,F2 Concede 2+ Goals,F2 Concede 4+ Goals,F2 3+ Saves,F2 6+ Saves,F2 Defensive Contribution - DEF,F2 Defensive Contribution - MID,F2 XP Pre,F2 Bonus Probability,F2 XP,F3 Start,F3 Opponent,F3 Venue,F3 Opponent Title,F3 Opponent Relegation,F3 Opponent Top 6,F3 Win Pred,F3 Opponent Win Pred,F3 Diff,F3 Score 1+,F3 Score 2+,F3 Score 3+,F3 Assist,F3 Yellow Card,F3 Clean Sheet,F3 Concede 2+ Goals,F3 Concede 4+ Goals,F3 3+ Saves,F3 6+ Saves,F3 Defensive Contribution - DEF,F3 Defensive Contribution - MID,F3 XP Pre,F3 Bonus Probability,F3 XP,F4 Start,F4 Opponent,F4 Venue,F4 Opponent Title,F4 Opponent Relegation,F4 Opponent Top 6,F4 Win Pred,F4 Opponent Win Pred,F4 Diff,F4 Score 1+,F4 Score 2+,F4 Score 3+,F4 Assist,F4 Yellow Card,F4 Clean Sheet,F4 Concede 2+ Goals,F4 Concede 4+ Goals,F4 3+ Saves,F4 6+ Saves,F4 Defensive Contribution - DEF,F4 Defensive Contribution - MID,F4 XP Pre,F4 Bonus Probability,F4 XP,F5 Start,F5 Opponent,F5 Venue,F5 Opponent Title,F5 Opponent Relegation,F5 Opponent Top 6,F5 Win Pred,F5 Opponent Win Pred,F5 Diff,F5 Score 1+,F5 Score 2+,F5 Score 3+,F5 Assist,F5 Yellow Card,F5 Clean Sheet,F5 Concede 2+ Goals,F5 Concede 4+ Goals,F5 3+ Saves,F5 6+ Saves,F5 Defensive Contribution - DEF,F5 Defensive Contribution - MID,F5 XP Pre,F5 Bonus Probability,F5 XP,F6 Start,F6 Opponent,F6 Venue,F6 Opponent Title,F6 Opponent Relegation,F6 Opponent Top 6,F6 Win Pred,F6 Opponent Win Pred,F6 Diff,F6 Score 1+,F6 Score 2+,F6 Score 3+,F6 Assist,F6 Yellow Card,F6 Clean Sheet,F6 Concede 2+ Goals,F6 Concede 4+ Goals,F6 3+ Saves,F6 6+ Saves,F6 Defensive Contribution - DEF,F6 Defensive Contribution - MID,F6 XP Pre,F6 Bonus Probability,F6 XP,Total XP
Jurrien Timber,DEF,Arsenal,6.4,0.9259259259259258,0.0002314236255750877,0.9259259259259258,0.12850438217197602,0.0,0.0,0.5393743257820928,0.2311604253351826,0.30821390044691016,Crystal Palace,A,0.0002314236255750877,0.0002314236255750877,0.0002314236255750877,0.11204481792717086,0.007558578987150415,0.0,0.26455026455026454,0.1443001443001443,0.32615786040443573,0.32304038004750596,0.03739355794150315,,,1.1047548735737092,1.6257428363625792,0.6449578678169002,1.1171930550609481,1.2767065906786554,,,0.9089324073800351,0.0,0.0,0.0,4.333649750263263,0.0,,,,,,,,,,,,,,0.32615786040443573,0.32304038004750596,0.03739355794150315,,,0.12850438217197602,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.12850438217197602,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.12850438217197602,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.12850438217197602,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.12850438217197602,0.0,0.0,0.0,0.0,0.0
Maldini Kacurri,DEF,Arsenal,3.9,0.9259259259259258,0.0002314236255750877,0.9259259259259258,0.44,0.0,0.0,0.5393743257820928,0.2311604253351826,0.30821390044691016,Crystal Palace,A,0.0002314236255750877,0.0002314236255750877,0.0002314236255750877,,,,,,0.32615786040443573,0.32304038004750596,0.03739355794150315,,,,,,1.1171930550609481,1.2767065906786554,,,0.9089324073800351,0.0,0.0,0.0,4.333649750263263,0.0,,,,,,,,,,,,,,0.32615786040443573,0.32304038004750596,0.03739355794150315,,,0.44,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.44,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.44,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.44,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.44,0.0,0.0,0.0,0.0,0.0
Marli Salmon,DEF,Arsenal,4.0,0.9259259259259258,0.0002314236255750877,0.9259259259259258,0.44,0.0,0.0,0.5393743257820928,0.2311604253351826,0.30821390044691016,Crystal Palace,A,0.0002314236255750877,0.0002314236255750877,0.0002314236255750877,0.04535147392290249,0.004738213693437574,0.0,0.12698412698412698,0.11614401858304298,0.32615786040443573,0.32304038004750596,0.03739355794150315,,,0.4471626869226918,0.780356561454038,0.5191124301940905,1.1171930550609481,1.2767065906786554,,,0.9089324073800351,0.0,0.0,0.0,4.333649750263263,0.0,,,,,,,,,,,,,,0.32615786040443573,0.32304038004750596,0.03739355794150315,,,0.44,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.44,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.44,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.44,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.44,0.0,0.0,0.0,0.0,0.0
Myles Lewis-Skelly,DEF,Arsenal,5.1,0.9259259259259258,0.0002314236255750877,0.9259259259259258,0.44,0.0,0.0,0.5393743257820928,0.2311604253351826,0.30821390044691016,Crystal Palace,A,0.0002314236255750877,0.0002314236255750877,0.0002314236255750877,0.09523809523809523,0.005411255411255411,0.0,0.17316017316017315,0.17006802721088435,0.32615786040443573,0.32304038004750596,0.03739355794150315,,,0.9390416425376529,1.064122583800961,0.7601289156413468,1.1171930550609481,1.2767065906786554,,,0.9089324073800351,0.0,0.0,0.0,4.333649750263263,0.0,,,,,,,,,,,,,,0.32615786040443573,0.32304038004750596,0.03739355794150315,,,0.44,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.44,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.44,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.44,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.44,0.0,0.0,0.0,0.0,0.0
Piero Hincapie,DEF,Arsenal,5.1,0.9259259259259258,0.0002314236255750877,0.9259259259259258,0.3147482693230955,0.0,1.0,0.5393743257820928,0.2311604253351826,0.30821390044691016,Crystal Palace,A,0.0002314236255750877,0.0002314236255750877,0.0002314236255750877,0.09523809523809523,0.005411255411255411,0.0,0.17316017316017315,0.1304631441617743,0.32615786040443573,0.32304038004750596,0.03739355794150315,,,0.9390416425376529,1.064122583800961,0.5831125928207591,1.1171930550609481,1.2767065906786554,,,0.9089324073800351,4.206173583500766,0.07789861503110501,4.361970813562976,4.333649750263263,1.0,,,,,,,,,,,,,,0.32615786040443573,0.32304038004750596,0.03739355794150315,,,0.3147482693230955,0.0,3.213260104285916,0.05454330417301331,3.3223467126319424,1.0,,,,,,,,,,,,,,,,,,,0.3147482693230955,0.0,2.6294965386461913,0.04081201758203572,2.7111205738102626,1.0,,,,,,,,,,,,,,,,,,,0.3147482693230955,0.0,2.6294965386461913,0.04081201758203572,2.7111205738102626,1.0,,,,,,,,,,,,,,,,,,,0.3147482693230955,0.0,2.6294965386461913,0.04081201758203572,2.7111205738102626,1.0,,,,,,,,,,,,,,,,,,,0.3147482693230955,0.0,2.6294965386461913,0.04081201758203572,2.7111205738102626,14.777103125968864
Riccardo Calafiori,DEF,Arsenal,5.6,0.9259259259259258,0.0002314236255750877,0.9259259259259258,0.17930085053480194,0.0,0.0,0.5393743257820928,0.2311604253351826,0.30821390044691016,Crystal Palace,A,0.0002314236255750877,0.0002314236255750877,0.0002314236255750877,0.11204481792717086,0.007558578987150415,0.0,0.22675736961451246,0.14998125234345705,0.32615786040443573,0.32304038004750596,0.03739355794150315,,,1.1047548735737092,1.3934938597393536,0.6703499098569357,1.1171930550609481,1.2767065906786554,,,0.9089324073800351,0.0,0.0,0.0,4.333649750263263,0.0,,,,,,,,,,,,,,0.32615786040443573,0.32304038004750596,0.03739355794150315,,,0.17930085053480194,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.17930085053480194,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.17930085053480194,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.17930085053480194,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.17930085053480194,0.0,0.0,0.0,0.0,0.0
William Saliba,DEF,Arsenal,6.1,0.9259259259259258,0.0002314236255750877,0.9259259259259258,0.1861236695609243,0.0,0.0,0.5393743257820928,0.2311604253351826,0.30821390044691016,Crystal Palace,A,0.0002314236255750877,0.0002314236255750877,0.0002314236255750877,0.07326007326007326,0.004738213693437574,0.0,0.11904761904761904,0.1070090957731407,0.32615786040443573,0.32304038004750596,0.03739355794150315,,,0.7223397250289638,0.7315842763631606,0.47828336265073496,1.1171930550609481,1.2767065906786554,,,0.9089324073800351,0.0,0.0,0.0,4.333649750263263,0.0,,,,,,,,,,,,,,0.32615786040443573,0.32304038004750596,0.03739355794150315,,,0.1861236695609243,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.1861236695609243,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.1861236695609243,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.1861236695609243,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.1861236695609243,0.0,0.0,0.0,0.0,0.0
Albert Sambi Lokonga,MID,Arsenal,4.5,0.9259259259259258,0.0002314236255750877,0.9259259259259258,0.0,0.26,0.0,0.5393743257820928,0.2311604253351826,0.30821390044691016,Crystal Palace,A,0.0002314236255750877,0.0002314236255750877,0.0002314236255750877,,,,,,0.32615786040443573,0.32304038004750596,0.03739355794150315,,,,,,1.1095699711766187,1.2510091005398123,,,0.9122389980929454,0.0,0.0,0.0,4.72823239720424,0.0,,,,,,,,,,,,,,0.32615786040443573,0.32304038004750596,0.03739355794150315,,,0.0,0.26,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.26,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.26,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.26,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.26,0.0,0.0,0.0,0.0
Andre Harriman-Annous,MID,Arsenal,4.4,0.9259259259259258,0.0002314236255750877,0.9259259259259258,0.0,0.26,0.0,0.5393743257820928,0.2311604253351826,0.30821390044691016,Crystal Palace,A,0.0002314236255750877,0.0002314236255750877,0.0002314236255750877,,,,,,0.32615786040443573,0.32304038004750596,0.03739355794150315,,,,,,1.1095699711766187,1.2510091005398123,,,0.9122389980929454,0.0,0.0,0.0,4.72823239720424,0.0,,,,,,,,,,,,,,0.32615786040443573,0.32304038004750596,0.03739355794150315,,,0.0,0.26,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.26,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.26,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.26,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.26,0.0,0.0,0.0,0.0
Bukayo Saka,MID,Arsenal,9.8,0.9259259259259258,0.0002314236255750877,0.9259259259259258,0.0,0.14413946154280755,0.0,0.5393743257820928,0.2311604253351826,0.30821390044691016,Crystal Palace,A,0.0002314236255750877,0.0002314236255750877,0.0002314236255750877,0.3401360544217687,0.08658008658008658,0.01,0.31746031746031744,0.10465724751439036,0.32615786040443573,0.32304038004750596,0.03739355794150315,,,1.5339425226053365,1.2577011858390572,0.4822413546239373,1.1095699711766187,1.2510091005398123,,,0.9122389980929454,0.0,0.0,0.0,4.72823239720424,0.0,,,,,,,,,,,,,,0.32615786040443573,0.32304038004750596,0.03739355794150315,,,0.0,0.14413946154280755,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.14413946154280755,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.14413946154280755,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.14413946154280755,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.14413946154280755,0.0,0.0,0.0,0.0
