name,nineties,dc90
Joe Gelhardt,0.0,0.0
Joe Hodge,0.0,0.0
Joe Knight,0.01,0.0
Joe White,0.0,0.0
Joe Willock,4.92,9.75
Joelinton,15.16,11.28
John McGinn,17.68,7.13
Jordan Henderson,16.54,8.4
Josh Cullen,16.81,10.29
Josh Dasilva,0.0,0.0
Josh King,10.09,7.33
Josh Laurent,13.99,9.94
João Pedro Ferreira da Silva,0.12,24.55
Joél Drakes-Thomas,0.08,38.57
Julio Enciso Espínola,0.0,0.0
Justin Devenny,6.59,7.28
Justin Kluivert,10.16,6.11
Kadan Young,0.0,0.0
Kaden Rodney,0.03,0.0
Kalvin Phillips,0.0,0.0
Kaoru Mitoma,13.14,5.1
Keiber Lamadrid,0.0,0.0
Kendry Páez Andrade,0.0,0.0
Kevin,9.48,7.17
Kevin Schade,20.63,6.88
Kieran Morrison,0.0,0.0
Kiernan Dewsbury-Hall,17.33,7.27
Kobbie Mainoo,7.53,9.56
Landon Emenalo,0.0,0.0
Largie Ramazani,0.0,0.0
Leander Dendoncker,0.0,0.0
Leandro Trossard,16.83,5.82
Leon Bailey,1.44,9.0
Lesley Ugochukwu,19.0,9.05
Lewis Cook,9.67,14.79
Lewis Dobbin,0.0,0.0
Lewis Miley,12.59,9.77
Lewis O'Brien,0.0,0.0
Lewis Orford,0.0,0.0
Loum Tchaouna,8.86,5.42
Luca Koleosho,0.0,0.0
Lucas Bergvall,8.88,7.66
Lucas Paqueta,16.81,8.68
Lucá Williams-Barnett,0.0,0.0
Luis Díaz Marulanda,0.0,0.0
Luis Guilherme,1.34,8.18
Luis Sinisterra Lucumí,0.0,0.0
Luka Bentt,0.0,0.0
Luke Harris,0.0,0.0
Luke Rawlings,0.0,0.0
Malcolm Ebiowei,0.0,0.0
Malcom DaCosta,0.0,0.0
Malick Yalcouyé,0.0,0.0
Manor Solomon,0.0,0.0
Manuel Benson Hedilazio,0.0,0.0
Manuel Ugarte,8.31,14.68
Marcus Edwards,8.63,4.98
Marcus Rashford,0.0,0.0
Marcus Tavernier,19.58,8.38
Marko Stamenić,0.0,0.0
Marshall Munetsi,9.69,8.26
Martial Godo,0.0,0.0
Martin Odegaard,11.74,6.81
Martin Zubimendi,25.17,9.22
Mason Mount,9.02,6.87
Mateo Kovačić,0.04,0.0
Mateus Fernandes,21.59,11.77
Matheus Cunha,18.08,7.3
Matheus França de Oliveira,0.0,0.0
Mathias Jensen,13.28,8.06
Mathys Tel,6.9,8.12
Mats Wieffer,13.1,14.05
Matt O'Riley,2.06,4.38
Max Dowman,0.3,10.0
Maxwel Cornet,0.0,0.0
Merlin Röhl,3.92,10.96
Mike Trésor Ndayishimiye,0.21,9.47
Mikel Merino,11.07,10.03
Mikey Moore,0.0,0.0
Mikkel Damsgaard,14.36,10.45
Milan Aleksić,0.0,0.0
Mohamadou Kante,0.18,22.5
Mohamed Salah,17.07,3.75
Mohammed Kudus,17.06,7.8
Moises Caicedo,19.71,13.34
Morgan Gibbs-White,24.53,5.1
Morgan Rogers,25.74,6.14
Mykhailo Mudryk,0.0,0.0
Myles Peart-Harris,0.01,0.0
Naouirou Ahamada,0.0,0.0
Nectarios Triantis,0.0,0.0
Nehemiah Oriola,0.01,0.0
Nico Gonzalez,15.22,11.96
Nicolas Dominguez,9.0,9.11
Nilson Angulo,0.93,5.36
Noah Okafor,14.07,6.18
Noah Sadiki,20.49,7.91
Noni Madueke,9.2,5.0
Oliver Pimlott,0.0,0.0
Oluwaseun Adewumi,0.0,0.0
Omar Marmoush,4.26,5.64
Omari Hutchinson,11.48,7.14
Oscar Bobb,5.43,6.81
Pape Matar Sarr,10.31,11.64
Paris Maghoma,0.0,0.0
Pascal Gross,6.18,8.9
Patrick Roberts,0.3,3.33
Pedro Neto,22.02,4.5
Phil Foden,19.03,6.67
Philip Billing,0.0,0.0
Pierre Ekwah Elimby,0.0,0.0
Rayan,2.2,4.09
Rayan Cherki,11.86,8.69
Reigan Heskey,0.0,0.0
Reiss Nelson,0.56,30.6
Remy Rees-Dottin,0.0,0.0
Rio Cardines,0.0,0.0
Rio Kyerematen,0.0,0.0
Rio Ngumoha,0.84,3.55
Rodri,9.81,12.74
Rodrigo Bentancur,15.63,13.24
Romain Esse,0.44,11.25
Romain Faivre,0.0,0.0
Romaine Mundle,3.87,6.98
Romelle Donovan,0.12,16.36
Roméo Lavia,1.17,9.43
Ross Barkley,1.74,12.04
Ryan Christie,5.04,9.91
Ryan Gravenberch,23.53,9.77
Ryan McAidoo,0.0,0.0
Ryan Sessegnon,15.74,10.67
Ryan Trevitt,0.0,0.0
Ryan Yates,4.08,8.83
Sam Alabi,0.0,0.0
Sam Chambers,0.0,0.0
Sam Greenwood,0.0,0.0
Samuel Chukwueze,7.06,7.23
Samuel Iling-Junior,0.0,0.0
Sander Berge,24.01,8.66
Sandro Tonali,19.63,9.68
Sasa Lukic,13.42,9.46
Savinho,5.9,7.46
Sean Longstaff,10.4,9.62
