name,position,team,cost
Remy Rees-Dottin,MID,Bournemouth,4.3
Romain Faivre,MID,Bournemouth,4.5
Ryan Christie,MID,Bournemouth,4.9
Tyler Adams,MID,Bournemouth,4.9
Zain Silcott-Duberry,MID,Bournemouth,4.4
Daniel Adu-Adjei,FWD,Bournemouth,4.4
Enes Ünal,FWD,Bournemouth,5.4
Evanilson,FWD,Bournemouth,6.9
Junior Kroupi,FWD,Bournemouth,4.7
Caoimhin Kelleher,GK,Brentford,4.6
Ellery Balcombe,GK,Brentford,3.9
Hákon Rafn Valdimarsson,GK,Brentford,3.9
Julian Eyestone,GK,Brentford,3.9
Matthew Cox,GK,Brentford,3.9
Aaron Hickey,DEF,Brentford,4.0
Benjamin Arthur,DEF,Brentford,3.8
Benjamin Fredrick,DEF,Brentford,4.0
Ethan Pinnock,DEF,Brentford,4.2
Jayden Meghoma,DEF,Brentford,4.0
Keane Lewis-Potter,DEF,Brentford,4.8
Kim Ji-soo,DEF,Brentford,3.9
Kristoffer Ajer,DEF,Brentford,4.4
Mads Roerslev Rasmussen,DEF,Brentford,4.5
Michael Kayode,DEF,Brentford,4.5
Nathan Collins,DEF,Brentford,5.0
Rico Henry,DEF,Brentford,4.3
Sepp van den Berg,DEF,Brentford,4.5
Antoni Milambo,MID,Brentford,5.2
Dango Ouattara,MID,Brentford,5.8
Fabio Carvalho,MID,Brentford,4.7
Frank Onyeka,MID,Brentford,4.8
Gustavo Nunes Fernandes Gomes,MID,Brentford,4.9
Jordan Henderson,MID,Brentford,5.0
Josh Dasilva,MID,Brentford,4.9
Kevin Schade,MID,Brentford,6.9
Luka Bentt,MID,Brentford,4.5
Mathias Jensen,MID,Brentford,4.9
Mikkel Damsgaard,MID,Brentford,5.6
Myles Peart-Harris,MID,Brentford,4.4
Paris Maghoma,MID,Brentford,4.5
Reiss Nelson,MID,Brentford,4.8
Romelle Donovan,MID,Brentford,4.4
Ryan Trevitt,MID,Brentford,4.5
Vitaly Janelt,MID,Brentford,4.9
Yehor Yarmoliuk,MID,Brentford,5.0
Yunus Emre Konak,MID,Brentford,4.3
Igor Thiago,FWD,Brentford,7.0
Iwan Morgan,FWD,Brentford,4.4
Kaye Furo,FWD,Brentford,4.5
