name,position,team,cost
Omar Richards,DEF,Nott'm Forest,4.5
Willy Boly,DEF,Nott'm Forest,3.8
Zach Abbott,DEF,Nott'm Forest,3.8
Callum Hudson-Odoi,MID,Nott'm Forest,5.7
Dan Ndoye,MID,Nott'm Forest,5.5
Dilane Bakwa,MID,Nott'm Forest,5.9
Elliot Anderson,MID,Nott'm Forest,5.4
Eric da Silva Moreira,MID,Nott'm Forest,4.5
Ibrahim Sangare,MID,Nott'm Forest,4.9
James McAtee,MID,Nott'm Forest,5.0
João Pedro Ferreira da Silva,MID,Nott'm Forest,5.4
Lewis O'Brien,MID,Nott'm Forest,5.0
Marko Stamenić,MID,Nott'm Forest,4.5
Morgan Gibbs-White,MID,Nott'm Forest,7.3
Nicolas Dominguez,MID,Nott'm Forest,5.0
Omari Hutchinson,MID,Nott'm Forest,5.4
Ryan Yates,MID,Nott'm Forest,4.7
Arnaud Kalimuendo,FWD,Nott'm Forest,6.0
Chris Wood,FWD,Nott'm Forest,7.2
Igor Jesus,FWD,Nott'm Forest,5.8
Lorenzo Lucca,FWD,Nott'm Forest,5.5
Taiwo Awoniyi,FWD,Nott'm Forest,5.2
Antonín Kinský,GK,Spurs,3.9
Brandon Austin,GK,Spurs,3.9
Guglielmo Vicario,GK,Spurs,4.7
Ashley Phillips,DEF,Spurs,4.0
Ben Davies,DEF,Spurs,4.3
Cristian Romero,DEF,Spurs,5.0
Destiny Udogie,DEF,Spurs,4.3
Djed Spence,DEF,Spurs,4.2
James Rowswell,DEF,Spurs,4.0
Joao Souza,DEF,Spurs,4.0
Jun'ai Byfield,DEF,Spurs,4.0
Kevin Danso,DEF,Spurs,4.2
Luka Vušković,DEF,Spurs,3.9
Micky van de Ven,DEF,Spurs,4.5
Pedro Porro,DEF,Spurs,5.1
Radu Dragusin,DEF,Spurs,4.5
Takai Kōta,DEF,Spurs,4.0
Archie Gray,MID,Spurs,4.8
Bryan Gil Salvatierra,MID,Spurs,4.9
Callum Olusesi,MID,Spurs,4.3
Conor Gallagher,MID,Spurs,5.4
Dejan Kulusevski,MID,Spurs,6.4
James Maddison,MID,Spurs,6.8
Joao Palhinha,MID,Spurs,5.5
Lucas Bergvall,MID,Spurs,5.2
Lucá Williams-Barnett,MID,Spurs,4.5
Manor Solomon,MID,Spurs,5.4
Mathys Tel,MID,Spurs,6.2
Mikey Moore,MID,Spurs,5.0
Mohammed Kudus,MID,Spurs,6.4
Pape Matar Sarr,MID,Spurs,4.5
Rio Kyerematen,MID,Spurs,4.5
Rodrigo Bentancur,MID,Spurs,5.3
Son Heung-min,MID,Spurs,8.5
Wilson Odobert,MID,Spurs,5.3
Xavi Simons,MID,Spurs,6.5
Yang Min-hyeok,MID,Spurs,4.5
Yusuf Akhamrich,MID,Spurs,4.5
Yves Bissouma,MID,Spurs,5.2
Dane Scarlett,FWD,Spurs,4.3
Dominic Solanke,FWD,Spurs,7.2
Randal Kolo Muani,FWD,Spurs,6.9
Richarlison,FWD,Spurs,6.3
Will Lankshear,FWD,Spurs,4.5
Anthony Patterson,GK,Sunderland,4.2
Blondy Nna Noukeu,GK,Sunderland,3.9
Melker Ellborg,GK,Sunderland,4.0
Robin Roefs,GK,Sunderland,4.9
Simon Moore,GK,Sunderland,3.9
Aji Alese,DEF,Sunderland,4.0
Arthur Masuaku,DEF,Sunderland,3.9
Dan Ballard,DEF,Sunderland,4.6
Dennis Cirkin,DEF,Sunderland,4.0
Jenson Jones,DEF,Sunderland,4.0
Jenson Seelt,DEF,Sunderland,4.0
Joe Anderson,DEF,Sunderland,3.8
Leo Fuhr Hjelde,DEF,Sunderland,4.0
Luke O'Nien,DEF,Sunderland,4.0
Lutsharel Geertruida,DEF,Sunderland,4.5
Niall Huggins,DEF,Sunderland,4.0
Nordi Mukiele,DEF,Sunderland,4.6
Omar Alderete,DEF,Sunderland,4.1
Reinildo Mandava,DEF,Sunderland,3.8
Timothée Pembélé,DEF,Sunderland,3.9
Trai Hume,DEF,Sunderland,4.5
Zak Johnson,DEF,Sunderland,3.8
Abdoullah Ba,MID,Sunderland,4.3
Alan Browne,MID,Sunderland,4.5
Bertrand Traore,MID,Sunderland,5.5
Chemsdine Talbi,MID,Sunderland,4.9
Chris Rigg,MID,Sunderland,4.7
Dan Neil,MID,Sunderland,4.8
Djiamgone Jocelin Ta Bi,MID,Sunderland,5.0
Enzo Le Fee,MID,Sunderland,4.9
Granit Xhaka,MID,Sunderland,5.1
Habib Diarra,MID,Sunderland,5.3
Harrison Jones,MID,Sunderland,4.3
Ian Poveda-Ocampo,MID,Sunderland,4.8
Jay Matete,MID,Sunderland,4.3
Milan Aleksić,MID,Sunderland,4.9
Nectarios Triantis,MID,Sunderland,4.4
Nilson Angulo,MID,Sunderland,5.0
Noah Sadiki,MID,Sunderland,4.9
Patrick Roberts,MID,Sunderland,5.4
Pierre Ekwah Elimby,MID,Sunderland,4.5
Romaine Mundle,MID,Sunderland,4.9
Simon Adingra,MID,Sunderland,4.9
Tymur Tutierov,MID,Sunderland,4.5
Ahmed Abdullahi,FWD,Sunderland,4.2
Brian Brobbey,FWD,Sunderland,5.5
Eliezer Mayenda,FWD,Sunderland,5.2
Luís Hemir Silva Semedo,FWD,Sunderland,4.4
Nazarii Rusyn,FWD,Sunderland,4.4
Wilson Isidor,FWD,Sunderland,5.1
Alphonse Areola,GK,West Ham,4.3
Krisztián Hegyi,GK,West Ham,3.9
Lukasz Fabianski,GK,West Ham,4.5
Mads Hermansen,GK,West Ham,4.2
Wes Foderingham,GK,West Ham,4.0
Aaron Wan-Bissaka,DEF,West Ham,4.1
Airidas Golambeckis,DEF,West Ham,4.0
Axel Disasi,DEF,West Ham,4.5
El Hadji Malick Diouf,DEF,West Ham,4.0
Emerson Palmieri dos Santos,DEF,West Ham,4.4
Ezra Mayers,DEF,West Ham,4.0
Jean-Clair Todibo,DEF,West Ham,4.3
Kaelan Casey,DEF,West Ham,4.0
Konstantinos Mavropanos,DEF,West Ham,4.4
Kyle Walker-Peters,DEF,West Ham,4.2
Maximilian Kilman,DEF,West Ham,4.2
Nayef Aguerd,DEF,West Ham,4.4
Ollie Scarles,DEF,West Ham,4.3
Adama Traore,MID,West Ham,5.1
Andy Irving,MID,West Ham,4.3
Crysencio Summerville,MID,West Ham,5.6
Edson Álvarez Velázquez,MID,West Ham,4.9
Freddie Potts,MID,West Ham,4.4
George Earthy,MID,West Ham,4.5
Guido Rodríguez,MID,West Ham,4.8
Keiber Lamadrid,MID,West Ham,5.0
Lewis Orford,MID,West Ham,4.4
Lucas Paqueta,MID,West Ham,5.9
Luis Guilherme,MID,West Ham,4.9
Mateus Fernandes,MID,West Ham,5.5
Maxwel Cornet,MID,West Ham,4.9
Mohamadou Kante,MID,West Ham,4.5
Soungoutou Magassa,MID,West Ham,5.0
Tomas Soucek,MID,West Ham,5.7
Callum Marshall,FWD,West Ham,4.3
Callum Wilson,FWD,West Ham,5.8
Jarrod Bowen,FWD,West Ham,7.6
Niclas Fullkrug,FWD,West Ham,5.6
Pablo,FWD,West Ham,5.5
Valentin Castellanos,FWD,West Ham,5.5
Daniel Bentley,GK,Wolves,3.9
Jose Sa,GK,Wolves,4.2
Sam Johnstone,GK,Wolves,4.4
Alfie Pond,DEF,Wolves,3.9
Bastien Meupiyou Menadjou,DEF,Wolves,4.0
David Moller Wolfe,DEF,Wolves,4.2
Emmanuel Agbadou,DEF,Wolves,4.2
Hugo Bueno López,DEF,Wolves,4.3
Jackson Tchatchoua,DEF,Wolves,4.4
Ki-Jana Hoever,DEF,Wolves,3.8
Ladislav Krejci,DEF,Wolves,4.5
Matt Doherty,DEF,Wolves,4.4
Pedro Cardoso de Lima,DEF,Wolves,4.0
Rodrigo Gomes,DEF,Wolves,4.4
Saheed Olagunju,DEF,Wolves,4.0
Santiago Bueno,DEF,Wolves,4.4
Toti Gomes,DEF,Wolves,4.2
Yerson Mosquera,DEF,Wolves,4.3
Andre,MID,Wolves,5.2
Angel Gomes,MID,Wolves,5.0
Boubacar Traoré,MID,Wolves,5.0
Enso González Medina,MID,Wolves,4.3
Ethan Sutherland,MID,Wolves,4.5
Fer Lopez,MID,Wolves,5.1
Gonçalo Manuel Ganchinho Guedes,MID,Wolves,5.5
Hwang Hee-Chan,MID,Wolves,5.6
Jean-Ricner Bellegarde,MID,Wolves,5.1
Jerome Abbey,MID,Wolves,4.5
Jhon Arias,MID,Wolves,4.9
Joao Gomes,MID,Wolves,5.3
Joe Hodge,MID,Wolves,4.5
Luke Rawlings,MID,Wolves,4.5
Marshall Munetsi,MID,Wolves,5.3
Tawanda Chirewa,MID,Wolves,4.3
Temple Ojinnaka,MID,Wolves,4.5
Tom Edozie,MID,Wolves,4.3
Adam Armstrong,FWD,Wolves,5.5
Fábio Soares Silva,FWD,Wolves,4.9
Leon Chiwome,FWD,Wolves,4.4
Mateus Mane,FWD,Wolves,4.6
Nathan Fraser,FWD,Wolves,4.2
Saša Kalajdžić,FWD,Wolves,4.9
Tolu Arokodare,FWD,Wolves,5.4
