team,prob2,prob4
Man Utd,0.6072351421188631,0.149519890260631
Brighton,0.3901808785529716,0.0560799555802332
Wolves,0.4569892473118279,0.07904834996162702
Burnley,0.40731070496083555,0.06082289803220036
Aston Villa,0.7861060329067642,0.32541567695962
Man City,0.30136986301369867,0.0348155808341951
Newcastle,0.4297082228116711,0.07024793388429752
Fulham,0.4905149051490515,0.09335727109515261
Chelsea,0.3447432762836185,0.04695490469549047
Sunderland,0.5,0.09774436090225565
Arsenal,0.32304038004750596,0.03739355794150315
Crystal Palace,0.553475935828877,0.11963882618510159
Brentford,0.6,0.14634146341463414
Liverpool,0.3974025974025974,0.05686936936936937
Bournemouth,0.3881748071979434,0.054565099945975144
Nott'm Forest,0.543010752688172,0.11475409836065574
Everton,0.5108108108108108,0.10058027079303676
Spurs,0.32304038004750596,0.03739355794150315
Leeds,0.5588235294117646,0.12529550827423167
West Ham,0.31162790697674425,0.0348155808341951
