team,prob
Brighton,0.27210884353741494
Man Utd,0.13802622498274672
Burnley,0.26021337496747327
Wolves,0.22148394241417496
Man City,0.34758428919012857
Aston Villa,0.0624512099921936
Fulham,0.20263424518743667
Newcastle,0.241721053903795
Sunderland,0.1984126984126984
Chelsea,0.30921459492888065
Crystal Palace,0.16420361247947454
Arsenal,0.32615786040443573
Liverpool,0.2660281989890928
Brentford,0.1400560224089636
Nott'm Forest,0.1716001716001716
Bournemouth,0.2752546105147261
Spurs,0.3272786777941417
Everton,0.1943634596695821
West Ham,0.3401360544217687
Leeds,0.15873015873015872
