team,prob3,prob6
Brighton,0.5878894767783656,0.12698412698412698
Man Utd,0.6802721088435374,0.19047619047619047
Burnley,0.5878894767783656,0.11904761904761904
Wolves,0.5878894767783656,0.13605442176870747
Man City,0.49862877088007973,0.07936507936507936
Aston Villa,0.6802721088435374,0.19047619047619047
Fulham,0.6066120715802243,0.12698412698412698
Newcastle,0.5537098560354374,0.11204481792717086
Sunderland,0.6224712107065048,0.14652014652014653
Chelsea,0.5204267499349465,0.10025062656641603
Crystal Palace,0.6802721088435374,0.17316017316017315
Arsenal,0.5537098560354374,0.11204481792717086
Liverpool,0.49862877088007973,0.08658008658008658
Brentford,0.6066120715802243,0.14652014652014653
Nott'm Forest,0.6568144499178982,0.15873015873015872
Bournemouth,0.5204267499349465,0.09523809523809523
Spurs,0.47619047619047616,0.07326007326007326
Everton,0.7002801120448179,0.21164021164021163
West Ham,0.42328042328042326,0.05602240896358543
Leeds,0.6802721088435374,0.19047619047619047
