stat,horizon,gw_from,gw_to,player,position,predicted,oracle_odds,persistence,position_mean,f2_formula,f2_oracle,actual,valid_opp
clean_sheet,5,20,25,Andrey Santos,MID,,0.33407306405516213,0.1304631441617743,0.2788598401194882,,,0.3871467286101432,True
clean_sheet,5,20,25,DÃ¡rio LuÃ­s Essugo,MID,,0.33407306405516213,0.1304631441617743,0.2788598401194882,,,0.3871467286101432,True
clean_sheet,5,20,25,Kendry PÃ¡ez Andrade,MID,,0.33407306405516213,0.1304631441617743,0.2788598401194882,,,0.3871467286101432,True
clean_sheet,5,20,25,Joao Pedro,FWD,,0.33645977207900846,0.1304631441617743,0.26782454942472406,,,0.3871467286101432,True
clean_sheet,5,20,25,Liam Delap,FWD,,0.33645977207900846,0.1304631441617743,0.26782454942472406,,,0.3871467286101432,True
clean_sheet,5,20,25,Nicolas Jackson,FWD,,0.33645977207900846,0.1304631441617743,0.26782454942472406,,,0.3871467286101432,True
clean_sheet,5,20,25,Marc Guiu,FWD,,0.33645977207900846,0.1304631441617743,0.26782454942472406,,,0.3871467286101432,True
clean_sheet,5,20,25,Alejandro Garnacho,MID,,0.33407306405516213,0.1304631441617743,0.2788598401194882,,,0.3871467286101432,True
clean_sheet,5,20,25,Jorrel Hato,DEF,,0.33393553417864097,0.1304631441617743,0.27725734907922905,,,0.3871467286101432,True
clean_sheet,5,20,25,Landon Emenalo,MID,,0.33407306405516213,0.1304631441617743,0.2788598401194882,,,0.3871467286101432,True
clean_sheet,5,20,25,Dean Henderson,GK,,0.43901539780290116,0.1670843776106934,0.27784416936202444,,,0.4714757190004715,True
clean_sheet,5,20,25,Walter BenÃ­tez,GK,,0.43901539780290116,0.1670843776106934,0.27784416936202444,,,0.4714757190004715,True
clean_sheet,5,20,25,Remi Matthews,GK,,0.43901539780290116,0.1670843776106934,0.27784416936202444,,,0.4714757190004715,True
clean_sheet,5,20,25,Daniel Munoz,DEF,,0.43793578977592545,0.1670843776106934,0.27725734907922905,,,0.4714757190004715,True
clean_sheet,5,20,25,Maxence Lacroix,DEF,,0.43793578977592545,0.1670843776106934,0.27725734907922905,,,0.4714757190004715,True
clean_sheet,5,20,25,Tyrick Mitchell,DEF,,0.43793578977592545,0.1670843776106934,0.27725734907922905,,,0.4714757190004715,True
clean_sheet,5,20,25,Borna Sosa,DEF,,0.43793578977592545,0.1670843776106934,0.27725734907922905,,,0.4714757190004715,True
clean_sheet,5,20,25,Marc Guehi,DEF,,0.46598900606690347,0.1670843776106934,0.27725734907922905,,,0.4429678848283499,True
clean_sheet,5,20,25,Chris Richards,DEF,,0.43793578977592545,0.1670843776106934,0.27725734907922905,,,0.4714757190004715,True
clean_sheet,5,20,25,Nathaniel Clyne,DEF,,0.43793578977592545,0.1670843776106934,0.27725734907922905,,,0.4714757190004715,True
clean_sheet,5,20,25,Rob Holding,DEF,,0.43793578977592545,0.1670843776106934,0.27725734907922905,,,0.4714757190004715,True
clean_sheet,5,20,25,Caleb Kporha,DEF,,0.43793578977592545,0.1670843776106934,0.27725734907922905,,,0.4714757190004715,True
clean_sheet,5,20,25,Ismaila Sarr,MID,,0.4381866968593589,0.1670843776106934,0.2788598401194882,,,0.4714757190004715,True
clean_sheet,5,20,25,Cheick Doucoure,MID,,0.4381866968593589,0.1670843776106934,0.2788598401194882,,,0.4714757190004715,True
clean_sheet,5,20,25,Romain Esse,MID,,0.4381866968593589,0.1670843776106934,0.2788598401194882,,,0.4714757190004715,True
clean_sheet,5,20,25,Will Hughes,MID,,0.4381866968593589,0.1670843776106934,0.2788598401194882,,,0.4714757190004715,True
clean_sheet,5,20,25,Daichi Kamada,MID,,0.4381866968593589,0.1670843776106934,0.2788598401194882,,,0.4714757190004715,True
clean_sheet,5,20,25,Jefferson Lerma,MID,,0.4381866968593589,0.1670843776106934,0.2788598401194882,,,0.4714757190004715,True
clean_sheet,5,20,25,Adam Wharton,MID,,0.4381866968593589,0.1670843776106934,0.2788598401194882,,,0.4714757190004715,True
clean_sheet,5,20,25,Asher Agbinone,MID,,0.4381866968593589,0.1670843776106934,0.2788598401194882,,,0.4714757190004715,True
