name,name_cleaned,team,position,now_cost
Borna Sosa,Borna Sosa,Crystal Palace,DEF,4.8
Caleb Kporha,Caleb Kporha,Crystal Palace,DEF,4.0
Chadi Riad Dnanou,Chadi Riad,Crystal Palace,DEF,4.0
Chris Richards,Chris Richards,Crystal Palace,DEF,4.4
Daniel Muñoz Mejía,Daniel Munoz,Crystal Palace,DEF,5.9
Danny Imray,Danny Imray,Crystal Palace,DEF,4.0
Dean Benamar,Dean Benamar,Crystal Palace,DEF,4.0
George King,George King,Crystal Palace,DEF,4.0
Jaydee Canvot,Jaydee Canvot,Crystal Palace,DEF,4.5
Maxence Lacroix,Maxence Lacroix,Crystal Palace,DEF,5.1
Nathaniel Clyne,Nathaniel Clyne,Crystal Palace,DEF,3.8
Rob Holding,Rob Holding,Crystal Palace,DEF,4.0
Tyrick Mitchell,Tyrick Mitchell,Crystal Palace,DEF,5.0
Adam Aznou,Adam Aznou,Everton,DEF,4.2
Elijah Campbell,Elijah Campbell,Everton,DEF,3.9
Jake O'Brien,Jake O'Brien,Everton,DEF,4.9
James Tarkowski,James Tarkowski,Everton,DEF,5.7
Jarrad Branthwaite,Jarrad Branthwaite,Everton,DEF,5.3
Michael Keane,Michael Keane,Everton,DEF,4.7
Nathan Patterson,Nathan Patterson,Everton,DEF,4.4
Reece Welch,Reece Welch,Everton,DEF,3.8
Roman Dixon,Roman Dixon,Everton,DEF,3.8
Séamus Coleman,Séamus Coleman,Everton,DEF,4.2
Vitalii Mykolenko,Vitalii Mykolenko,Everton,DEF,4.9
Antonee Robinson,Antonee Robinson,Fulham,DEF,4.9
Calvin Bassey,Calvin Bassey,Fulham,DEF,4.4
Issa Diop,Issa Diop,Fulham,DEF,4.3
Joachim Andersen,Joachim Andersen,Fulham,DEF,4.6
Jorge Cuenca Barreno,Jorge Cuenca,Fulham,DEF,4.3
Kenny Tete,Kenny Tete,Fulham,DEF,4.5
Samuel Amissah,Samuel Amissah,Fulham,DEF,3.8
Timothy Castagne,Timothy Castagne,Fulham,DEF,4.3
Gabriel Gudmundsson,Gabriel Gudmundsson,Leeds,DEF,3.8
Isaac Schmidt,Isaac Schmidt,Leeds,DEF,4.0
Jaka Bijol,Jaka Bijol,Leeds,DEF,3.9
James Justin,James Justin,Leeds,DEF,3.9
Jayden Bogle,Jayden Bogle,Leeds,DEF,4.4
Joe Rodon,Joe Rodon,Leeds,DEF,3.9
Pascal Struijk,Pascal Struijk,Leeds,DEF,4.3
Sam Byram,Sam Byram,Leeds,DEF,3.8
Sebastiaan Bornauw,Sebastiaan Bornauw,Leeds,DEF,3.8
Amara Nallo,Amara Nallo,Liverpool,DEF,3.7
Andrew Robertson,Andrew Robertson,Liverpool,DEF,5.7
Calvin Ramsay,Calvin Ramsay,Liverpool,DEF,3.8
Conor Bradley,Conor Bradley,Liverpool,DEF,4.9
Giovanni Leoni,Giovanni Leoni,Liverpool,DEF,4.9
Ibrahima Konaté,Ibrahima Konate,Liverpool,DEF,5.4
Jeremie Frimpong,Jeremie Frimpong,Liverpool,DEF,5.7
Joe Gomez,Joe Gomez,Liverpool,DEF,4.9
Konstantinos Tsimikas,Konstantinos Tsimikas,Liverpool,DEF,4.8
Milos Kerkez,Milos Kerkez,Liverpool,DEF,5.6
Rhys Williams,Rhys Williams,Liverpool,DEF,3.7
Virgil van Dijk,Virgil van Dijk,Liverpool,DEF,5.9
Wellity Lucky,Wellity Lucky,Liverpool,DEF,4.0
Abdukodir Khusanov,Abduqodir Khusanov,Man City,DEF,5.4
John Stones,John Stones,Man City,DEF,5.4
Joško Gvardiol,Josko Gvardiol,Man City,DEF,5.9
Manuel Akanji,Manuel Akanji,Man City,DEF,5.4
Marc Guéhi,Marc Guehi,Man City,DEF,5.2
Matheus Nunes,Matheus Nunes,Man City,DEF,5.4
Max Alleyne,Max Alleyne,Man City,DEF,4.1
Nathan Aké,Nathan Ake,Man City,DEF,5.3
Nico O'Reilly,Nico O'Reilly,Man City,DEF,4.9
Rayan Aït-Nouri,Rayan Ait Nouri,Man City,DEF,5.7
Rico Lewis,Rico Lewis,Man City,DEF,4.6
Rúben dos Santos Gato Alves Dias,Ruben Dias,Man City,DEF,5.5
Stephen Mfuni,Stephen Mfuni,Man City,DEF,3.9
Vitor de Oliveira Nunes dos Reis,Vitor de Oliveira Nunes dos Reis,Man City,DEF,5.0
Ayden Heaven,Ayden Heaven,Man Utd,DEF,3.8
Diego León Blanco,Diego León Blanco,Man Utd,DEF,4.2
Diogo Dalot Teixeira,Diogo Dalot,Man Utd,DEF,4.5
Godwill Kukonki,Godwill Kukonki,Man Utd,DEF,4.0
Harry Amass,Harry Amass,Man Utd,DEF,4.0
Harry Maguire,Harry Maguire,Man Utd,DEF,4.3
Leny Yoro,Leny Yoro,Man Utd,DEF,4.1
Lisandro Martínez,Lisandro Martinez,Man Utd,DEF,4.8
