name,name_cleaned,team,position,now_cost
Aaron Ramsdale,Aaron Ramsdale,Newcastle,GK,4.8
John Ruddy,John Ruddy,Newcastle,GK,4.0
Mark Gillespie,Mark Gillespie,Newcastle,GK,3.9
Nick Pope,Nick Pope,Newcastle,GK,5.1
Odysseas Vlachodimos,Odysseas Vlachodimos,Newcastle,GK,4.0
Angus Gunn,Angus Gunn,Nott'm Forest,GK,4.0
Carlos Miguel dos Santos Pereira,Carlos Miguel dos Santos Pereira,Nott'm Forest,GK,4.0
John Victor Maciel Furtado,John Victor Maciel Furtado,Nott'm Forest,GK,4.0
Matt Turner,Matt Turner,Nott'm Forest,GK,4.0
Matz Sels,Matz Sels,Nott'm Forest,GK,4.6
Stefan Ortega Moreno,Stefan Ortega Moreno,Nott'm Forest,GK,4.7
Antonín Kinský,Antonín Kinský,Spurs,GK,3.9
Brandon Austin,Brandon Austin,Spurs,GK,3.9
Guglielmo Vicario,Guglielmo Vicario,Spurs,GK,4.7
Anthony Patterson,Anthony Patterson,Sunderland,GK,4.2
Blondy Nna Noukeu,Blondy Nna Noukeu,Sunderland,GK,3.9
Melker Ellborg,Melker Ellborg,Sunderland,GK,4.0
Robin Roefs,Robin Roefs,Sunderland,GK,4.9
Simon Moore,Simon Moore,Sunderland,GK,3.9
Alphonse Areola,Alphonse Areola,West Ham,GK,4.3
Krisztián Hegyi,Krisztián Hegyi,West Ham,GK,3.9
Lukasz Fabianski,Lukasz Fabianski,West Ham,GK,4.5
Mads Hermansen,Mads Hermansen,West Ham,GK,4.2
Wes Foderingham,Wes Foderingham,West Ham,GK,4.0
Daniel Bentley,Daniel Bentley,Wolves,GK,3.9
José Malheiro de Sá,Jose Sa,Wolves,GK,4.2
Sam Johnstone,Sam Johnstone,Wolves,GK,4.4
Albert Sambi Lokonga,Albert Sambi Lokonga,Arsenal,MID,4.5
Andre Harriman-Annous,Andre Harriman-Annous,Arsenal,MID,4.4
Bukayo Saka,Bukayo Saka,Arsenal,MID,9.9
Christian Nørgaard,Christian Norgaard,Arsenal,MID,5.1
Declan Rice,Declan Rice,Arsenal,MID,7.5
Eberechi Eze,Eberechi Eze,Arsenal,MID,7.2
Ethan Nwaneri,Ethan Nwaneri,Arsenal,MID,5.0
Fábio Ferreira Vieira,Fabio Vieira,Arsenal,MID,5.4
Gabriel Martinelli Silva,Gabriel Martinelli,Arsenal,MID,6.8
Ismeal Kabia,Ismeal Kabia,Arsenal,MID,4.5
Leandro Trossard,Leandro Trossard,Arsenal,MID,6.8
Martin Ødegaard,Martin Odegaard,Arsenal,MID,7.8
Martín Zubimendi Ibáñez,Martin Zubimendi,Arsenal,MID,5.3
Max Dowman,Max Dowman,Arsenal,MID,4.2
Mikel Merino Zazón,Mikel Merino,Arsenal,MID,5.4
Noni Madueke,Noni Madueke,Arsenal,MID,6.8
Alysson Edward Franco da Rocha dos Santos,Alysson Edward Franco da Rocha dos Santos,Aston Villa,MID,5.0
Amadou Onana,Amadou Onana,Aston Villa,MID,4.8
Ben Broggio,Ben Broggio,Aston Villa,MID,4.4
Boubacar Kamara,Boubacar Kamara,Aston Villa,MID,4.9
Bradley Burrowes,Bradley Burrowes,Aston Villa,MID,4.4
Donyell Malen,Donyell Malen,Aston Villa,MID,5.1
Douglas Luiz Soares de Paulo,Douglas Luiz,Aston Villa,MID,4.9
Emiliano Buendía Stati,Emiliano Buendia,Aston Villa,MID,5.3
Enzo Barrenechea,Enzo Barrenechea,Aston Villa,MID,5.0
George Hemmings,George Hemmings,Aston Villa,MID,4.5
Harvey Elliott,Harvey Elliott,Aston Villa,MID,5.1
Jadon Sancho,Jadon Sancho,Aston Villa,MID,5.8
Jamaldeen Jimoh-Aloba,Jamaldeen Jimoh-Aloba,Aston Villa,MID,4.5
John McGinn,John McGinn,Aston Villa,MID,5.4
Kadan Young,Kadan Young,Aston Villa,MID,4.3
Leander Dendoncker,Leander Dendoncker,Aston Villa,MID,4.5
Leon Bailey,Leon Bailey,Aston Villa,MID,5.5
Lewis Dobbin,Lewis Dobbin,Aston Villa,MID,5.0
Morgan Rogers,Morgan Rogers,Aston Villa,MID,7.7
Ross Barkley,Ross Barkley,Aston Villa,MID,4.8
Samuel Iling-Junior,Samuel Iling-Junior,Aston Villa,MID,5.5
Youri Tielemans,Youri Tielemans,Aston Villa,MID,5.9
Alex Scott,Alex Scott,Bournemouth,MID,5.0
Alex Tóth,Alex Tóth,Bournemouth,MID,5.0
Amine Adli,Amine Adli,Bournemouth,MID,5.4
Ben Gannon-Doak,Ben Gannon-Doak,Bournemouth,MID,4.8
Ben Winterburn,Ben Winterburn,Bournemouth,MID,4.5
Charlie Stevens,Charlie Stevens,Bournemouth,MID,4.5
David Brooks,David Brooks,Bournemouth,MID,5.0
Dominic Sadi,Dominic Sadi,Bournemouth,MID,4.5
Hamed Traorè,Hamed Traorè,Bournemouth,MID,4.5
Justin Kluivert,Justin Kluivert,Bournemouth,MID,7.0
Lewis Cook,Lewis Cook,Bournemouth,MID,4.9
Luis Sinisterra Lucumí,Luis Sinisterra Lucumí,Bournemouth,MID,5.0
Malcom DaCosta,Malcom DaCosta,Bournemouth,MID,4.5
Marcus Tavernier,Marcus Tavernier,Bournemouth,MID,5.3
Philip Billing,Philip Billing,Bournemouth,MID,4.9
Rayan Vitor Simplício Rocha,Rayan,Bournemouth,MID,5.5
Remy Rees-Dottin,Remy Rees-Dottin,Bournemouth,MID,4.3
Romain Faivre,Romain Faivre,Bournemouth,MID,4.5
Ryan Christie,Ryan Christie,Bournemouth,MID,4.9
Tyler Adams,Tyler Adams,Bournemouth,MID,4.9
Zain Silcott-Duberry,Zain Silcott-Duberry,Bournemouth,MID,4.4
Antoni Milambo,Antoni Milambo,Brentford,MID,5.2
Dango Ouattara,Dango Ouattara,Brentford,MID,5.8
Fábio Freitas Gouveia Carvalho,Fabio Carvalho,Brentford,MID,4.7
Frank Onyeka,Frank Onyeka,Brentford,MID,4.8
Gustavo Nunes Fernandes Gomes,Gustavo Nunes Fernandes Gomes,Brentford,MID,4.9
Jordan Henderson,Jordan Henderson,Brentford,MID,5.0
Josh Dasilva,Josh Dasilva,Brentford,MID,4.9
Kevin Schade,Kevin Schade,Brentford,MID,6.9
Luka Bentt,Luka Bentt,Brentford,MID,4.5
Mathias Jensen,Mathias Jensen,Brentford,MID,4.9
Mikkel Damsgaard,Mikkel Damsgaard,Brentford,MID,5.6
Myles Peart-Harris,Myles Peart-Harris,Brentford,MID,4.4
Paris Maghoma,Paris Maghoma,Brentford,MID,4.5
Reiss Nelson,Reiss Nelson,Brentford,MID,4.8
Romelle Donovan,Romelle Donovan,Brentford,MID,4.4
Ryan Trevitt,Ryan Trevitt,Brentford,MID,4.5
Vitaly Janelt,Vitaly Janelt,Brentford,MID,4.9
Yehor Yarmoliuk,Yehor Yarmoliuk,Brentford,MID,5.0
Yunus Emre Konak,Yunus Emre Konak,Brentford,MID,4.3
Abdallah Sima,Abdallah Sima,Brighton,MID,5.4
Adrian Mazilu,Adrian Mazilu,Brighton,MID,4.5
Andrew Moran,Andrew Moran,Brighton,MID,4.5
Brajan Gruda,Brajan Gruda,Brighton,MID,5.4
Carlos Baleba,Carlos Baleba,Brighton,MID,4.5
Diego Gómez Amarilla,Diego Gomez,Brighton,MID,4.9
Georginio Rutter,Georginio Rutter,Brighton,MID,5.6
Harry Howell,Harry Howell,Brighton,MID,4.5
Jack Hinshelwood,Jack Hinshelwood,Brighton,MID,5.1
James Milner,James Milner,Brighton,MID,4.9
Jeremy Sarmiento Morante,Jeremy Sarmiento Morante,Brighton,MID,4.9
Joe Knight,Joe Knight,Brighton,MID,4.4
Julio Enciso Espínola,Julio Enciso Espínola,Brighton,MID,5.4
Mitoma Kaoru,Kaoru Mitoma,Brighton,MID,6.1
Malick Yalcouyé,Malick Yalcouyé,Brighton,MID,5.0
Mats Wieffer,Mats Wieffer,Brighton,MID,4.9
Matt O'Riley,Matt O'Riley,Brighton,MID,5.5
Nehemiah Oriola,Nehemiah Oriola,Brighton,MID,4.5
Pascal Groß,Pascal Gross,Brighton,MID,5.5
Solly March,Solly March,Brighton,MID,5.8
Tom Watson,Tom Watson,Brighton,MID,4.8
Yankuba Minteh,Yankuba Minteh,Brighton,MID,5.6
Yasin Ayari,Yasin Ayari,Brighton,MID,4.8
Aaron Ramsey,Aaron Ramsey,Burnley,MID,4.4
Darko Churlinov,Darko Churlinov,Burnley,MID,4.9
Enock Agyei,Enock Agyei,Burnley,MID,4.7
Florentino Ibrain Morris Luís,Florentino,Burnley,MID,5.0
George Brierley,George Brierley,Burnley,MID,4.5
Hannibal Mejbri,Hannibal Mejbri,Burnley,MID,4.7
Jacob Bruun Larsen,Jacob Bruun Larsen,Burnley,MID,5.3
Jaidon Anthony,Jaidon Anthony,Burnley,MID,5.0
James Ward-Prowse,James Ward-Prowse,Burnley,MID,5.6
Jaydon Banel,Jaydon Banel,Burnley,MID,4.5
Josh Cullen,Josh Cullen,Burnley,MID,4.9
Josh Laurent,Josh Laurent,Burnley,MID,4.8
Lesley Ugochukwu,Lesley Ugochukwu,Burnley,MID,5.0
Loum Tchaouna,Loum Tchaouna,Burnley,MID,4.9
Luca Koleosho,Luca Koleosho,Burnley,MID,5.0
Manuel Benson Hedilazio,Manuel Benson Hedilazio,Burnley,MID,5.4
Marcus Edwards,Marcus Edwards,Burnley,MID,4.7
Mike Trésor Ndayishimiye,Mike Trésor Ndayishimiye,Burnley,MID,4.4
Oliver Pimlott,Oliver Pimlott,Burnley,MID,4.5
Oluwaseun Adewumi,Oluwaseun Adewumi,Burnley,MID,4.5
Alejandro Garnacho Ferreyra,Alejandro Garnacho,Chelsea,MID,6.4
Andrey Nascimento dos Santos,Andrey Santos,Chelsea,MID,4.5
Christopher Nkunku,Christopher Nkunku,Chelsea,MID,5.9
Cole Palmer,Cole Palmer,Chelsea,MID,10.6
Dário Luís Essugo,Dário Luís Essugo,Chelsea,MID,4.3
Enzo Fernández,Enzo Fernandez,Chelsea,MID,6.9
Estêvão Almeida de Oliveira Gonçalves,Estevao,Chelsea,MID,6.4
Jamie Bynoe-Gittens,Jamie Gittens,Chelsea,MID,6.0
Kendry Páez Andrade,Kendry Páez Andrade,Chelsea,MID,4.5
Landon Emenalo,Landon Emenalo,Chelsea,MID,4.5
Moisés Caicedo Corozo,Moises Caicedo,Chelsea,MID,5.7
Mykhailo Mudryk,Mykhailo Mudryk,Chelsea,MID,4.9
Pedro Lomba Neto,Pedro Neto,Chelsea,MID,7.0
Roméo Lavia,Roméo Lavia,Chelsea,MID,4.9
Adam Wharton,Adam Wharton,Crystal Palace,MID,5.0
Asher Agbinone,Asher Agbinone,Crystal Palace,MID,4.3
Brennan Johnson,Brennan Johnson,Crystal Palace,MID,6.5
Cheick Doucouré,Cheick Doucoure,Crystal Palace,MID,4.9
Daichi Kamada,Daichi Kamada,Crystal Palace,MID,5.0
David Ozoh,David Ozoh,Crystal Palace,MID,4.5
Evann Guessand,Evann Guessand,Crystal Palace,MID,6.2
Franco Umeh-Chibueze,Franco Umeh-Chibueze,Crystal Palace,MID,4.5
Ismaïla Sarr,Ismaila Sarr,Crystal Palace,MID,6.4
Jefferson Lerma Solís,Jefferson Lerma,Crystal Palace,MID,4.9
Jesurun Rak-Sakyi,Jesurun Rak-Sakyi,Crystal Palace,MID,4.4
Joél Drakes-Thomas,Joél Drakes-Thomas,Crystal Palace,MID,4.5
Justin Devenny,Justin Devenny,Crystal Palace,MID,4.3
Kaden Rodney,Kaden Rodney,Crystal Palace,MID,4.4
Malcolm Ebiowei,Malcolm Ebiowei,Crystal Palace,MID,4.5
Matheus França de Oliveira,Matheus França de Oliveira,Crystal Palace,MID,4.5
Naouirou Ahamada,Naouirou Ahamada,Crystal Palace,MID,4.3
Rio Cardines,Rio Cardines,Crystal Palace,MID,4.4
Romain Esse,Romain Esse,Crystal Palace,MID,4.7
Will Hughes,Will Hughes,Crystal Palace,MID,4.7
Yéremy Pino Santos,Yeremy Pino,Crystal Palace,MID,5.8
Callum Bates,Callum Bates,Everton,MID,4.3
Carlos Alcaraz Durán,Charly Alcaraz,Everton,MID,5.2
Coby Ebere,Coby Ebere,Everton,MID,4.4
Dwight McNeil,Dwight McNeil,Everton,MID,5.5
Harrison Armstrong,Harrison Armstrong,Everton,MID,4.5
Idrissa Gana Gueye,Idrissa Gueye,Everton,MID,5.4
Iliman Ndiaye,Iliman Ndiaye,Everton,MID,6.2
Isaac Heath,Isaac Heath,Everton,MID,4.5
Jack Grealish,Jack Grealish,Everton,MID,6.3
James Garner,James Garner,Everton,MID,5.2
Jenson Metcalfe,Jenson Metcalfe,Everton,MID,4.5
Kiernan Dewsbury-Hall,Kiernan Dewsbury-Hall,Everton,MID,4.9
Merlin Röhl,Merlin Röhl,Everton,MID,5.0
Tim Iroegbunam,Tim Iroegbunam,Everton,MID,4.8
Tyler Dibling,Tyler Dibling,Everton,MID,5.3
Tyler Onyango,Tyler Onyango,Everton,MID,4.5
Tyrique George,Tyrique George,Everton,MID,4.8
Alex Iwobi,Alex Iwobi,Fulham,MID,6.3
Andreas Hoelgebaum Pereira,Andreas Hoelgebaum Pereira,Fulham,MID,5.3
Emile Smith Rowe,Emile Smith Rowe,Fulham,MID,5.6
Harrison Reed,Harrison Reed,Fulham,MID,4.3
Harry Wilson,Harry Wilson,Fulham,MID,5.9
Josh King,Josh King,Fulham,MID,4.4
Kevin Santos Lopes de Macedo,Kevin,Fulham,MID,5.8
Luke Harris,Luke Harris,Fulham,MID,4.5
Martial Godo,Martial Godo,Fulham,MID,4.5
Oscar Bobb,Oscar Bobb,Fulham,MID,5.1
Ryan Sessegnon,Ryan Sessegnon,Fulham,MID,5.4
Samuel Chukwueze,Samuel Chukwueze,Fulham,MID,5.3
Sander Berge,Sander Berge,Fulham,MID,4.9
Saša Lukić,Sasa Lukic,Fulham,MID,4.9
Seth Ridgeon,Seth Ridgeon,Fulham,MID,4.5
Tom Cairney,Tom Cairney,Fulham,MID,4.8
Anton Stach,Anton Stach,Leeds,MID,4.8
Tanaka Ao,Ao Tanaka,Leeds,MID,4.8
Brenden Aaronson,Brenden Aaronson,Leeds,MID,5.4
Charlie Crew,Charlie Crew,Leeds,MID,4.5
Daniel James,Daniel James,Leeds,MID,5.2
Darko Gyabi,Darko Gyabi,Leeds,MID,4.5
Ethan Ampadu,Ethan Ampadu,Leeds,MID,4.9
Facundo Buonanotte,Facundo Buonanotte,Leeds,MID,4.6
Ilia Gruev,Ilia Gruev,Leeds,MID,4.7
Jack Harrison,Jack Harrison,Leeds,MID,5.1
Joe Gelhardt,Joe Gelhardt,Leeds,MID,4.5
Largie Ramazani,Largie Ramazani,Leeds,MID,4.9
Noah Okafor,Noah Okafor,Leeds,MID,5.5
Sam Chambers,Sam Chambers,Leeds,MID,4.4
Sam Greenwood,Sam Greenwood,Leeds,MID,4.9
Sean Longstaff,Sean Longstaff,Leeds,MID,4.8
Wilfried Gnonto,Wilfried Gnonto,Leeds,MID,5.2
Alexis Mac Allister,Alexis Mac Allister,Liverpool,MID,6.2
Cody Gakpo,Cody Gakpo,Liverpool,MID,7.3
Curtis Jones,Curtis Jones,Liverpool,MID,5.4
Dominik Szoboszlai,Dominik Szoboszlai,Liverpool,MID,6.7
Endo Wataru,Endo Wataru,Liverpool,MID,4.9
Federico Chiesa,Federico Chiesa,Liverpool,MID,6.3
Florian Wirtz,Florian Wirtz,Liverpool,MID,8.4
James McConnell,James McConnell,Liverpool,MID,4.4
Kieran Morrison,Kieran Morrison,Liverpool,MID,4.5
Luis Díaz Marulanda,Luis Díaz Marulanda,Liverpool,MID,8.0
Mohamed Salah,Mohamed Salah,Liverpool,MID,14.0
Rio Ngumoha,Rio Ngumoha,Liverpool,MID,4.3
Ryan Gravenberch,Ryan Gravenberch,Liverpool,MID,5.5
Stefan Bajčetić Maquieira,Stefan Bajčetić Maquieira,Liverpool,MID,4.3
Trey Nyoni,Trey Nyoni,Liverpool,MID,4.3
Tyler Morton,Tyler Morton,Liverpool,MID,4.5
Antoine Semenyo,Antoine Semenyo,Man City,MID,8.0
Bernardo Mota Veiga de Carvalho e Silva,Bernardo Silva,Man City,MID,6.2
Charlie Gray,Charlie Gray,Man City,MID,4.5
Claudio Echeverri,Claudio Echeverri,Man City,MID,5.4
Divine Mukasa,Divine Mukasa,Man City,MID,4.4
İlkay Gündoğan,Ilkay Gundogan,Man City,MID,6.3
Jérémy Doku,Jeremy Doku,Man City,MID,6.4
Kalvin Phillips,Kalvin Phillips,Man City,MID,4.7
Mateo Kovačić,Mateo Kovačić,Man City,MID,5.8
Nico González Iglesias,Nico Gonzalez,Man City,MID,5.9
Omar Marmoush,Omar Marmoush,Man City,MID,8.3
Phil Foden,Phil Foden,Man City,MID,8.3
Rayan Cherki,Rayan Cherki,Man City,MID,6.5
Reigan Heskey,Reigan Heskey,Man City,MID,4.5
Rodrigo 'Rodri' Hernandez Cascante,Rodri,Man City,MID,6.3
Ryan McAidoo,Ryan McAidoo,Man City,MID,4.5
Sávio Moreira de Oliveira,Savinho,Man City,MID,6.9
Sverre Nypan,Sverre Nypan,Man City,MID,5.0
Tijjani Reijnders,Tijjani Reijnders,Man City,MID,5.1
Amad Diallo,Amad Diallo,Man Utd,MID,6.2
Antony dos Santos,Antony dos Santos,Man Utd,MID,5.9
Bendito Mantato,Bendito Mantato,Man Utd,MID,4.5
Bruno Borges Fernandes,Bruno Fernandes,Man Utd,MID,9.8
Bryan Mbeumo,Bryan Mbeumo,Man Utd,MID,8.6
Carlos Henrique Casimiro,Casemiro,Man Utd,MID,5.6
Jack Fletcher,Jack Fletcher,Man Utd,MID,4.3
Jack Moorhouse,Jack Moorhouse,Man Utd,MID,4.5
Jayce Fitzgerald,Jayce Fitzgerald,Man Utd,MID,4.3
Kobbie Mainoo,Kobbie Mainoo,Man Utd,MID,4.6
Manuel Ugarte Ribeiro,Manuel Ugarte,Man Utd,MID,4.7
Marcus Rashford,Marcus Rashford,Man Utd,MID,7.0
Mason Mount,Mason Mount,Man Utd,MID,5.9
Matheus Santos Carneiro da Cunha,Matheus Cunha,Man Utd,MID,8.1
Shea Lacey,Shea Lacey,Man Utd,MID,4.5
Sékou Koné,Sékou Koné,Man Utd,MID,4.3
Toby Collyer,Toby Collyer,Man Utd,MID,4.5
Tyler Fletcher,Tyler Fletcher,Man Utd,MID,4.4
Anthony Elanga,Anthony Elanga,Newcastle,MID,6.5
Anthony Gordon,Anthony Gordon,Newcastle,MID,7.2
Antoñito Cordero Campillo,Antoñito Cordero Campillo,Newcastle,MID,4.9
Bruno Guimarães Rodriguez Moura,Bruno Guimaraes,Newcastle,MID,6.9
Garang Kuol,Garang Kuol,Newcastle,MID,4.4
Harvey Barnes,Harvey Barnes,Newcastle,MID,6.1
Isaac Hayden,Isaac Hayden,Newcastle,MID,4.5
Jacob Murphy,Jacob Murphy,Newcastle,MID,5.9
Jacob Ramsey,Jacob Ramsey,Newcastle,MID,5.3
Joe White,Joe White,Newcastle,MID,4.5
Joe Willock,Joe Willock,Newcastle,MID,5.0
Joelinton Cássio Apolinário de Lira,Joelinton,Newcastle,MID,5.9
Lewis Miley,Lewis Miley,Newcastle,MID,4.5
Sam Alabi,Sam Alabi,Newcastle,MID,4.5
Sandro Tonali,Sandro Tonali,Newcastle,MID,5.3
Seung-Soo Park,Seung-Soo Park,Newcastle,MID,4.3
Callum Hudson-Odoi,Callum Hudson-Odoi,Nott'm Forest,MID,5.7
Dan Ndoye,Dan Ndoye,Nott'm Forest,MID,5.5
Dilane Bakwa,Dilane Bakwa,Nott'm Forest,MID,5.9
Elliot Anderson,Elliot Anderson,Nott'm Forest,MID,5.4
Eric da Silva Moreira,Eric da Silva Moreira,Nott'm Forest,MID,4.5
Ibrahim Sangaré,Ibrahim Sangare,Nott'm Forest,MID,4.9
James McAtee,James McAtee,Nott'm Forest,MID,5.0
João Pedro Ferreira da Silva,João Pedro Ferreira da Silva,Nott'm Forest,MID,5.4
Lewis O'Brien,Lewis O'Brien,Nott'm Forest,MID,5.0
Marko Stamenić,Marko Stamenić,Nott'm Forest,MID,4.5
Morgan Gibbs-White,Morgan Gibbs-White,Nott'm Forest,MID,7.3
Nicolás Domínguez,Nicolas Dominguez,Nott'm Forest,MID,5.0
Omari Hutchinson,Omari Hutchinson,Nott'm Forest,MID,5.4
Ryan Yates,Ryan Yates,Nott'm Forest,MID,4.7
Archie Gray,Archie Gray,Spurs,MID,4.8
Bryan Gil Salvatierra,Bryan Gil Salvatierra,Spurs,MID,4.9
Callum Olusesi,Callum Olusesi,Spurs,MID,4.3
Conor Gallagher,Conor Gallagher,Spurs,MID,5.4
Dejan Kulusevski,Dejan Kulusevski,Spurs,MID,6.4
James Maddison,James Maddison,Spurs,MID,6.8
João Maria Lobo Alves Palhares Costa Palhinha Gonçalves,Joao Palhinha,Spurs,MID,5.5
Lucas Bergvall,Lucas Bergvall,Spurs,MID,5.2
Lucá Williams-Barnett,Lucá Williams-Barnett,Spurs,MID,4.5
Manor Solomon,Manor Solomon,Spurs,MID,5.4
Mathys Tel,Mathys Tel,Spurs,MID,6.2
Mikey Moore,Mikey Moore,Spurs,MID,5.0
Mohammed Kudus,Mohammed Kudus,Spurs,MID,6.4
Pape Matar Sarr,Pape Matar Sarr,Spurs,MID,4.5
Rio Kyerematen,Rio Kyerematen,Spurs,MID,4.5
Rodrigo Bentancur,Rodrigo Bentancur,Spurs,MID,5.3
Son Heung-min,Son Heung-min,Spurs,MID,8.5
Wilson Odobert,Wilson Odobert,Spurs,MID,5.3
Xavi Simons,Xavi Simons,Spurs,MID,6.5
Yang Min-hyeok,Yang Min-hyeok,Spurs,MID,4.5
Yusuf Akhamrich,Yusuf Akhamrich,Spurs,MID,4.5
Yves Bissouma,Yves Bissouma,Spurs,MID,5.2
Abdoullah Ba,Abdoullah Ba,Sunderland,MID,4.3
Alan Browne,Alan Browne,Sunderland,MID,4.5
Bertrand Traoré,Bertrand Traore,Sunderland,MID,5.5
Chemsdine Talbi,Chemsdine Talbi,Sunderland,MID,4.9
Chris Rigg,Chris Rigg,Sunderland,MID,4.7
Dan Neil,Dan Neil,Sunderland,MID,4.8
Djiamgone Jocelin Ta Bi,Djiamgone Jocelin Ta Bi,Sunderland,MID,5.0
Enzo Le Fée,Enzo Le Fee,Sunderland,MID,4.9
Granit Xhaka,Granit Xhaka,Sunderland,MID,5.1
Habib Diarra,Habib Diarra,Sunderland,MID,5.3
Harrison Jones,Harrison Jones,Sunderland,MID,4.3
Ian Poveda-Ocampo,Ian Poveda-Ocampo,Sunderland,MID,4.8
Jay Matete,Jay Matete,Sunderland,MID,4.3
Milan Aleksić,Milan Aleksić,Sunderland,MID,4.9
Nectarios Triantis,Nectarios Triantis,Sunderland,MID,4.4
Nilson Angulo,Nilson Angulo,Sunderland,MID,5.0
Noah Sadiki,Noah Sadiki,Sunderland,MID,4.9
Patrick Roberts,Patrick Roberts,Sunderland,MID,5.4
Pierre Ekwah Elimby,Pierre Ekwah Elimby,Sunderland,MID,4.5
Romaine Mundle,Romaine Mundle,Sunderland,MID,4.9
Simon Adingra,Simon Adingra,Sunderland,MID,4.9
Tymur Tutierov,Tymur Tutierov,Sunderland,MID,4.5
Adama Traoré Diarra,Adama Traore,West Ham,MID,5.1
Andy Irving,Andy Irving,West Ham,MID,4.3
Crysencio Summerville,Crysencio Summerville,West Ham,MID,5.6
Edson Álvarez Velázquez,Edson Álvarez Velázquez,West Ham,MID,4.9
Freddie Potts,Freddie Potts,West Ham,MID,4.4
George Earthy,George Earthy,West Ham,MID,4.5
Guido Rodríguez,Guido Rodríguez,West Ham,MID,4.8
Keiber Lamadrid,Keiber Lamadrid,West Ham,MID,5.0
Lewis Orford,Lewis Orford,West Ham,MID,4.4
Lucas Tolentino Coelho de Lima,Lucas Paqueta,West Ham,MID,5.9
Luis Guilherme Lira dos Santos,Luis Guilherme,West Ham,MID,4.9
Mateus Gonçalo Espanha Fernandes,Mateus Fernandes,West Ham,MID,5.5
Maxwel Cornet,Maxwel Cornet,West Ham,MID,4.9
Mohamadou Kanté,Mohamadou Kanté,West Ham,MID,4.5
Soungoutou Magassa,Soungoutou Magassa,West Ham,MID,5.0
Tomáš Souček,Tomas Soucek,West Ham,MID,5.7
André Trindade da Costa Neto,Andre,Wolves,MID,5.3
Angel Gomes,Angel Gomes,Wolves,MID,5.0
Boubacar Traoré,Boubacar Traoré,Wolves,MID,5.0
Enso González Medina,Enso González Medina,Wolves,MID,4.3
Ethan Sutherland,Ethan Sutherland,Wolves,MID,4.5
Fer López González,Fer Lopez,Wolves,MID,5.1
Gonçalo Manuel Ganchinho Guedes,Gonçalo Manuel Ganchinho Guedes,Wolves,MID,5.5
Hwang Hee-chan,Hwang Hee-Chan,Wolves,MID,5.6
Jean-Ricner Bellegarde,Jean-Ricner Bellegarde,Wolves,MID,5.1
Jerome Abbey,Jerome Abbey,Wolves,MID,4.5
Jhon Arias,Jhon Arias,Wolves,MID,4.9
João Victor Gomes da Silva,Joao Gomes,Wolves,MID,5.3
Joe Hodge,Joe Hodge,Wolves,MID,4.5
Luke Rawlings,Luke Rawlings,Wolves,MID,4.5
Marshall Munetsi,Marshall Munetsi,Wolves,MID,5.3
Tawanda Chirewa,Tawanda Chirewa,Wolves,MID,4.3
Temple Ojinnaka,Temple Ojinnaka,Wolves,MID,4.5
Tom Edozie,Tom Edozie,Wolves,MID,4.3
