Season,Gameweek,Source,Team,Player
2026-2027,1,Curated,Nott'm Forest,Nikola Milenkovic
2026-2027,1,Curated,Nott'm Forest,Morgan Gibbs-White
2026-2027,1,Curated,Nott'm Forest,Matz Sels
2026-2027,1,Curated,Nott'm Forest,Ousmane Diomande
2026-2027,1,Curated,Nott'm Forest,Murillo dos Santos
2026-2027,1,Curated,Nott'm Forest,Ola Aina
2026-2027,1,Curated,Nott'm Forest,Ibrahim Sangare
2026-2027,1,Curated,Nott'm Forest,Igor Jesus
2026-2027,1,Curated,Nott'm Forest,Xaver Schlager
2026-2027,1,Curated,Nott'm Forest,Dan Ndoye
2026-2027,1,Curated,Spurs,Sandro Tonali
2026-2027,1,Curated,Spurs,Antonín Kinský
2026-2027,1,Curated,Spurs,Jan Paul van Hecke
2026-2027,1,Curated,Spurs,Marcos Senesi
2026-2027,1,Curated,Spurs,Mathys Tel
2026-2027,1,Curated,Spurs,Archie Gray
2026-2027,1,Curated,Spurs,Andrew Robertson
2026-2027,1,Curated,Spurs,Mikey Moore
2026-2027,1,Curated,Spurs,Richarlison
2026-2027,1,Curated,Spurs,Conor Gallagher
2026-2027,1,Curated,Spurs,Mateus Fernandes
2026-2027,1,Curated,Sunderland,Robin Roefs
2026-2027,1,Curated,Sunderland,Dan Ballard
2026-2027,1,Curated,Sunderland,Granit Xhaka
2026-2027,1,Curated,Sunderland,Enzo Le Fee
2026-2027,1,Curated,Sunderland,Noah Sadiki
2026-2027,1,Curated,Sunderland,Trai Hume
2026-2027,1,Curated,Sunderland,Brian Brobbey
2026-2027,1,Curated,Sunderland,Reinildo Mandava
2026-2027,1,Curated,Sunderland,Luke O'Nien
2026-2027,1,Curated,Sunderland,Nilson Angulo
2026-2027,1,Curated,Sunderland,Thomas Meunier
2026-2027,1,FFS,Arsenal,David Raya
2026-2027,1,FFS,Arsenal,Ben White
2026-2027,1,FFS,Arsenal,Cristhian Mosquera
2026-2027,1,FFS,Arsenal,Gabriel Magalhaes
2026-2027,1,FFS,Arsenal,Riccardo Calafiori
2026-2027,1,FFS,Arsenal,Martin Odegaard
2026-2027,1,FFS,Arsenal,Myles Lewis-Skelly
2026-2027,1,FFS,Arsenal,Declan Rice
2026-2027,1,FFS,Arsenal,Noni Madueke
2026-2027,1,FFS,Arsenal,Kai Havertz
2026-2027,1,FFS,Arsenal,Christos Tzolis
2026-2027,1,FFS,Aston Villa,Marco Bizot
2026-2027,1,FFS,Aston Villa,Matty Cash
2026-2027,1,FFS,Aston Villa,Victor Lindelof
2026-2027,1,FFS,Aston Villa,Pau Torres
2026-2027,1,FFS,Aston Villa,Ian Maatsen
2026-2027,1,FFS,Aston Villa,Ross Barkley
2026-2027,1,FFS,Aston Villa,Boubacar Kamara
2026-2027,1,FFS,Aston Villa,John McGinn
2026-2027,1,FFS,Aston Villa,Emiliano Buendia
2026-2027,1,FFS,Aston Villa,Alejandro Garnacho
2026-2027,1,FFS,Aston Villa,Ollie Watkins
2026-2027,1,FFS,Bournemouth,Djordje Petrovic
2026-2027,1,FFS,Bournemouth,Adam Smith
2026-2027,1,FFS,Bournemouth,James Hill
2026-2027,1,FFS,Bournemouth,António João Pereira de Albuquerque Tavares da Silva
2026-2027,1,FFS,Bournemouth,Adrien Truffert
2026-2027,1,FFS,Bournemouth,Lewis Cook
2026-2027,1,FFS,Bournemouth,Alex Scott
2026-2027,1,FFS,Bournemouth,Rayan
2026-2027,1,FFS,Bournemouth,Justin Kluivert
