Team,book_1,book_2,book_3,book_4,book_5,book_6,book_7,book_8,book_9,book_10,book_11,book_12,book_13,book_14,book_15,book_16,book_17,book_18,book_19,book_20,book_21,book_22,book_23,book_24
Arsenal,1.04,1.03,1.04,1.02,1,1.03,1.01,1.04,1.04,1.04,1.02,1.02,1,1.03,1.05,1.04,1.05,1.03,1.03,1.03,1.02,1.01,1.01,1.01
Man City,1.14,1.1,1.15,1.13,1.1,1.1,1.12,1.14,1.14,1.14,1.12,1.11,1.1,1.1,1.14,1.14,1.14,1.1,1.1,1.1,1.11,1.07,1.07,1.16
Liverpool,1.22,1.14,1.2,1.22,1.15,1.17,1.14,1.2,1.2,1.2,1.16,1.14,1.15,1.17,1.2,1.2,1.2,1.17,1.17,1.17,1.14,1.17,1.17,1.25
Man Utd,1.33,1.29,1.29,1.29,1.25,1.28,1.22,1.28,1.29,1.29,1.29,1.22,1.25,1.29,1.28,1.29,1.22,1.28,1.29,1.29,1.22,1.29,1.29,1.36
Chelsea,1.33,1.29,1.34,1.3,1.22,1.28,1.25,1.33,1.33,1.29,1.22,1.25,1.22,1.29,1.33,1.33,1.33,1.28,1.29,1.29,1.25,1.22,1.22,1.25
Tottenham,1.91,1.91,1.93,2,2.05,2,1.91,1.9,1.91,1.8,1.83,1.83,2.05,2,1.9,1.91,2,2,2,2,1.83,2.1,2.1,1.95
Aston Villa,2.25,2.38,2.3,2.38,3.1,2.5,2.38,2.25,2.25,2.25,2.87,2.25,3.1,2.38,2.25,2.25,2.1,2.5,2.38,2.38,2.25,2.88,2.88,3
Newcastle,5.5,5,5.25,4,7,5.5,6,5,5,5,6,5,7,5.25,5,5,4.5,5.5,5.25,5.25,5,10,10,6
Brighton,4.5,4.5,4.6,4.5,3.8,4.5,4.5,4.5,4.5,4.5,4.33,4.5,3.8,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,5,5,4
Everton,7,8,7.5,7,7,8,9,7,7,7,8.5,7,7,8,7,7,7,8,8,8,7,8,8,9.5
Bournemouth,7,7,7.5,7,6.5,7,8,7,7,7,7,7,6.5,7,7,7,7,7,7,7,7,9,9,8
Brentford,7,8,7.5,7,6.5,7,7,7,7,7,6.5,7,6.5,7,8,7,8,7,7,7,7,7.5,7.5,7
Nottingham Forest,7.5,7.5,7,9,7,8,8,7.5,7.5,7,7.5,8,7,8,9,7.5,9,8,8,8,8,7,7,8
Leeds,10,9,10.5,10,8,10,9,10,10,9.5,9,8.5,8,10,10,10,10,10,10,10,8.5,8,8,8.5
Crystal Palace,10,11,10.5,10,10,11,13,10,10,10,11,10,10,11,10,10,10,11,11,11,10,15,15,13
Fulham,12,10,11,11,12,15,13,11,11,11,11,11,12,15,11,11,11,15,15,15,11,15,15,12
Sunderland,13,15,14,12,19,13,13,13,13,13,17,13,19,13,13,13,13,13,13,13,13,21,21,21
Coventry,51,51,51,67,67,67,34,51,51,51,51,51,67,67,51,51,51,67,67,67,51,101,101,67
Ipswich,51,67,51,67,67,67,41,51,51,51,51,51,67,67,51,51,67,67,67,67,51,81,81,81
Hull,101,101,101,101,201,101,51,101,101,101,101,101,201,101,101,101,101,101,101,101,101,151,151,251
