Season,home_team,away_team,home_win_odds,away_win_odds,home_title_odds,away_title_odds,home_relegation_odds,away_relegation_odds,home_top_6_odds,away_top_6_odds,Gameweek,draw_odds,home_clean_sheet_odds,home_over_1.5_odds,home_over_3.5_odds,away_clean_sheet_odds,away_over_1.5_odds,away_over_3.5_odds
2025-2026,Leeds,Man Utd,2.5,2.7,2501.0,201.0,7.0,251.0,41.0,1.91,,,,,,,,
2025-2026,Newcastle,Crystal Palace,1.61,5.0,1001.0,1251.0,101.0,151.0,3.75,4.5,,,,,,,,
2025-2026,Everton,Brentford,2.37,3.1,1001.0,1501.0,67.0,51.0,8.0,10.0,,,,,,,,
2025-2026,Fulham,Liverpool,3.75,1.9,1501.0,41.0,41.0,501.0,11.0,1.1,,,,,,,,
2025-2026,Spurs,Sunderland,1.8,4.5,1501.0,1001.0,51.0,41.0,8.0,15.0,,,,,,,,
2025-2026,Man City,Chelsea,1.57,4.75,2.88,151.0,501.0,401.0,1.01,1.36,,,,,,,,
2025-2026,West Ham,Nott'm Forest,3.1,2.25,4001.0,2501.0,1.44,5.0,251.0,67.0,,,,,,,,
2025-2026,Fulham,Chelsea,3.4,2.0,1501.0,151.0,41.0,401.0,11.0,1.36,,,,,,,,
2025-2026,Crystal Palace,Aston Villa,2.62,2.62,1251.0,26.0,151.0,751.0,4.5,1.1,,,,,,,,
2025-2026,Everton,Wolves,1.66,5.0,1001.0,4501.0,67.0,1.0,8.0,0.0,,,,,,,,
2025-2026,Bournemouth,Spurs,2.0,3.3,2001.0,1501.0,21.0,51.0,21.0,8.0,,,,,,,,
2025-2026,Brentford,Sunderland,1.85,4.2,1501.0,1001.0,51.0,41.0,10.0,15.0,,,,,,,,
2025-2026,Man City,Brighton,1.36,7.0,2.88,1001.0,501.0,67.0,1.01,5.0,,,,,,,,
2025-2026,Burnley,Man Utd,4.5,1.72,4501.0,201.0,1.05,251.0,501.0,1.91,,,,,,,,
2025-2026,Newcastle,Leeds,1.66,5.0,1001.0,2501.0,101.0,7.0,3.75,41.0,,,,,,,,
2025-2026,Arsenal,Liverpool,1.6,5.0,1.53,41.0,2001.0,501.0,1.0,1.1,,,,,,,,
2025-2026,West Ham,Nott'm Forest,3.0,2.4,2001.0,1376.0,1.2725,4.9075,266.625,78.88235294117646,,,,,,,,
2025-2026,Fulham,Chelsea,3.4,2.05,1046.454545454545,248.7272727272727,74.65217391304348,352.0869565217391,10.47058823529412,1.305294117647059,,,,,,,,
2025-2026,Crystal Palace,Aston Villa,3.25,2.25,1005.761904761905,28.27272727272727,85.25,480.7727272727273,6.695882352941176,1.064117647058824,,,,,,,,
2025-2026,Everton,Wolves,1.75,5.0,1114.636363636364,2401.0,68.1304347826087,1.019047619047619,7.647058823529412,677.6666666666666,,,,,,,,
2025-2026,Bournemouth,Spurs,2.15,3.25,1182.818181818182,1024.809523809524,20.41666666666667,80.04347826086956,19.29411764705882,6.647058823529412,,,,,,,,
2025-2026,Brentford,Sunderland,1.83,4.4,873.7272727272727,867.6666666666666,145.1304347826087,62.58333333333334,8.617647058823529,11.58823529411765,,,,,,,,
2025-2026,Man City,Brighton,1.4,7.0,3.927272727272728,855.7619047619048,382.5217391304348,135.75,1.006666666666667,6.5,,,,,,,,
2025-2026,Burnley,Man Utd,5.0,1.66,2151.0,412.9047619047619,1.022916666666667,211.4782608695652,463.5,1.848823529411765,,,,,,,,
2025-2026,Newcastle,Leeds,1.7,5.0,777.1904761904761,1381.952380952381,191.4347826086957,9.166666666666666,3.28235294117647,49.70588235294117,,,,,,,,
2025-2026,Arsenal,Liverpool,1.53,6.0,1.289545454545454,99.1818181818182,911.0,382.5217391304348,1.0,1.061176470588236,,,,,,,,
2025-2026,Man Utd,Man City,4.1,1.75,412.9047619047619,3.927272727272728,211.4782608695652,382.5217391304348,1.848823529411765,1.006666666666667,,,,,,,,
2025-2026,Leeds,Fulham,2.3,3.3,1381.952380952381,1046.454545454545,9.166666666666666,74.65217391304348,49.70588235294117,10.47058823529412,,,,,,,,
2025-2026,Spurs,West Ham,1.7,4.75,1024.809523809524,2001.0,80.04347826086956,1.2725,6.647058823529412,266.625,,,,,,,,
2025-2026,Liverpool,Burnley,1.2,14.0,99.1818181818182,2151.0,382.5217391304348,1.022916666666667,1.061176470588236,463.5,,,,,,,,
2025-2026,Sunderland,Crystal Palace,2.8,2.62,867.6666666666666,1005.761904761905,62.58333333333334,85.25,11.58823529411765,6.695882352941176,,,,,,,,
2025-2026,Chelsea,Brentford,1.57,5.5,248.7272727272727,873.7272727272727,352.0869565217391,145.1304347826087,1.305294117647059,8.617647058823529,,,,,,,,
2025-2026,Nott'm Forest,Arsenal,6.5,1.5,1376.0,1.289545454545454,4.9075,911.0,78.88235294117646,1.0,,,,,,,,
