Season,home_team,away_team,home_win_odds,away_win_odds,home_title_odds,away_title_odds,home_relegation_odds,away_relegation_odds,home_top_6_odds,away_top_6_odds,Gameweek,draw_odds,home_clean_sheet_odds,home_over_1.5_odds,home_over_3.5_odds,away_clean_sheet_odds,away_over_1.5_odds,away_over_3.5_odds
2025-2026,Liverpool,West Ham,1.4,6.5,315.5833333333333,4251.0,845.6428571428571,1.717391304347826,1.046190476190477,285.2105263157895,,,,,,,,
2025-2026,Burnley,Brentford,4.6,1.72,5001.0,1223.222222222222,1.016666666666667,340.2857142857143,417.6666666666667,4.594545454545455,,,,,,,,
2025-2026,Leeds,Man City,5.0,1.61,2442.176470588235,2.59,12.91304347826087,876.0,124.4285714285714,1.005,,,,,,,,
2025-2026,Fulham,Spurs,2.0,3.5,1639.888888888889,2589.235294117647,218.6818181818182,5.510869565217392,18.45454545454545,167.0,,,,,,,,
2025-2026,Brighton,Nott'm Forest,2.05,3.5,1667.666666666667,3626.0,82.36363636363636,3.510869565217391,31.42857142857143,196.0,,,,,,,,
2025-2026,Man Utd,Crystal Palace,1.5,6.0,67.41666666666667,2001.0,929.5714285714286,24.30434782608696,1.020476190476191,66.66666666666667,,,,,,,,
2025-2026,Arsenal,Chelsea,1.57,5.5,1.497916666666667,419.75,2001.0,876.0,1.0,1.247272727272727,,,,,,,,
2025-2026,Everton,Burnley,1.61,5.5,2001.0,5001.0,201.0,1.016666666666667,29.72727272727273,417.6666666666667,,,,,,,,
2025-2026,Bournemouth,Brentford,2.4,2.75,1795.117647058823,1223.222222222222,321.4545454545454,340.2857142857143,15.95454545454546,4.594545454545455,,,,,,,,
2025-2026,Leeds,Sunderland,1.86,4.33,2442.176470588235,1971.588235294118,12.91304347826087,50.04347826086956,124.4285714285714,52.68181818181818,,,,,,,,
2025-2026,Wolves,Liverpool,6.5,1.44,4001.0,315.5833333333333,1.001,845.6428571428571,376.0,1.046190476190477,,,,,,,,
2025-2026,Fulham,West Ham,2.0,3.7,1639.888888888889,4251.0,218.6818181818182,1.717391304347826,18.45454545454545,285.2105263157895,,,,,,,,
2025-2026,Aston Villa,Chelsea,2.7,2.5,134.125,419.75,701.0,876.0,1.025714285714286,1.247272727272727,,,,,,,,
2025-2026,Brighton,Arsenal,5.0,1.65,1667.666666666667,1.497916666666667,82.36363636363636,2001.0,31.42857142857143,1.0,,,,,,,,
2025-2026,Man City,Nott'm Forest,1.36,8.0,2.59,3626.0,876.0,3.510869565217391,1.005,196.0,,,,,,,,
2025-2026,Newcastle,Man Utd,2.37,2.75,1185.210526315789,67.41666666666667,322.4285714285714,929.5714285714286,9.772727272727272,1.020476190476191,,,,,,,,
2025-2026,Spurs,Crystal Palace,2.3,3.1,2589.235294117647,2001.0,5.510869565217392,24.30434782608696,167.0,66.66666666666667,,,,,,,,
2025-2026,Everton,Burnley,1.6,6.0,2001.0,5001.0,201.0,1.016666666666667,29.72727272727273,417.6666666666667,,,,,,,,
2025-2026,Bournemouth,Brentford,2.55,2.62,1795.117647058823,1223.222222222222,321.4545454545454,340.2857142857143,15.95454545454546,4.594545454545455,,,,,,,,
2025-2026,Leeds,Sunderland,1.85,4.5,2442.176470588235,1971.588235294118,12.91304347826087,50.04347826086956,124.4285714285714,52.68181818181818,,,,,,,,
2025-2026,Wolves,Liverpool,6.5,1.44,4001.0,315.5833333333333,1.001,845.6428571428571,376.0,1.046190476190477,,,,,,,,
2025-2026,Fulham,West Ham,2.05,3.5,1639.888888888889,4251.0,218.6818181818182,1.717391304347826,18.45454545454545,285.2105263157895,,,,,,,,
2025-2026,Aston Villa,Chelsea,2.62,2.4,134.125,419.75,701.0,876.0,1.025714285714286,1.247272727272727,,,,,,,,
2025-2026,Brighton,Arsenal,5.0,1.61,1667.666666666667,1.497916666666667,82.36363636363636,2001.0,31.42857142857143,1.0,,,,,,,,
2025-2026,Man City,Nott'm Forest,1.36,8.0,2.59,3626.0,876.0,3.510869565217391,1.005,196.0,,,,,,,,
2025-2026,Newcastle,Man Utd,2.62,2.5,1185.210526315789,67.41666666666667,322.4285714285714,929.5714285714286,9.772727272727272,1.020476190476191,,,,,,,,
2025-2026,Spurs,Crystal Palace,2.4,2.9,2589.235294117647,2001.0,5.510869565217392,24.30434782608696,167.0,66.66666666666667,,,,,,,,
2025-2026,Sunderland,Brighton,3.3,2.15,1971.588235294118,1667.666666666667,50.04347826086956,82.36363636363636,52.68181818181818,31.42857142857143,,,,,,,,
2025-2026,Burnley,Bournemouth,3.5,1.95,5001.0,1795.117647058823,1.016666666666667,321.4545454545454,417.6666666666667,15.95454545454546,,,,,,,,
2025-2026,Arsenal,Everton,1.25,13.0,1.497916666666667,2001.0,2001.0,201.0,1.0,29.72727272727273,,,,,,,,
2025-2026,Chelsea,Newcastle,1.8,3.8,419.75,1185.210526315789,876.0,322.4285714285714,1.247272727272727,9.772727272727272,,,,,,,,
2025-2026,West Ham,Man City,4.75,1.61,4251.0,2.59,1.717391304347826,876.0,285.2105263157895,1.005,,,,,,,,
2025-2026,Man Utd,Aston Villa,1.75,4.2,67.41666666666667,134.125,929.5714285714286,701.0,1.020476190476191,1.025714285714286,,,,,,,,
2025-2026,Crystal Palace,Leeds,2.1,3.5,2001.0,2442.176470588235,24.30434782608696,12.91304347826087,66.66666666666667,124.4285714285714,,,,,,,,
2025-2026,Nott'm Forest,Fulham,2.1,3.4,3626.0,1639.888888888889,3.510869565217391,218.6818181818182,196.0,18.45454545454545,,,,,,,,
2025-2026,Liverpool,Spurs,1.36,8.0,315.5833333333333,2589.235294117647,845.6428571428571,5.510869565217392,1.046190476190477,167.0,,,,,,,,
2025-2026,Brentford,Wolves,1.57,5.5,1223.222222222222,4001.0,340.2857142857143,1.001,4.594545454545455,376.0,,,,,,,,
2025-2026,,,,,,,,,,,,,,,,,,
2026-2027,Arsenal,Coventry City,1.21,13.0,2.122916666666667,1042.6666666666667,898.7272727272727,1.6981818181818178,1.026666666666667,60.458333333333336,1.0,6.8,1.77,,,8.4,,
2026-2027,Hull City,Man Utd,8.4,1.35,1584.3333333333333,9.6875,1.1890909090909092,401.0,117.66666666666669,1.2779166666666664,1.0,5.4,6.8,,,1.99,,
2026-2027,Everton,Crystal Palace,2.23,3.25,328.0833333333333,553.0833333333334,10.659090909090908,6.590909090909091,7.604166666666667,10.979166666666666,1.0,3.4,3.0,,,3.85,,
2026-2027,Ipswich Town,Sunderland,2.75,2.6,1167.6666666666667,719.75,1.718181818181818,3.986363636363637,61.0,14.75,1.0,3.35,3.3,,,3.15,,
2026-2027,Nott'm Forest,Leeds,2.31,3.1,426.0,496.8333333333333,9.590909090909092,7.25,7.75,9.354166666666666,1.0,3.4,3.05,,,3.7,,
2026-2027,Brentford,Spurs,2.45,2.7,235.375,26.30434782608696,9.568181818181818,47.13636363636363,7.125,1.9508333333333328,1.0,3.65,3.75,,,4.0,,
2026-2027,Brighton,Aston Villa,2.23,3.05,181.43478260869568,52.875,24.045454545454547,57.18181818181818,4.459583333333334,2.4795833333333337,1.0,3.55,3.35,,,4.2,,
2026-2027,Man City,Bournemouth,1.46,5.8,4.74875,286.4166666666667,750.0,10.431818181818182,1.1175000000000002,7.229166666666667,1.0,4.9,2.7,,,7.2,,
2026-2027,Newcastle,Liverpool,3.85,1.83,208.29166666666663,6.75,9.25,628.2727272727273,5.75,1.179166666666667,1.0,3.95,5.8,,,3.35,,
2026-2027,Fulham,Chelsea,3.7,1.85,573.9166666666666,9.1875,5.886363636363637,86.27272727272727,12.375,1.2804166666666663,1.0,3.7,4.8,,,2.95,,
2026-2027,Crystal Palace,Man City,4.9,1.59,750.0,5.05,5.55,750.0,12.0,1.12,2.0,4.1,5.6,3.1,,2.49,1.56,
2026-2027,Liverpool,Nott'm Forest,1.46,5.8,10.1,500.0,750.0,6.9,1.25,9.0,2.0,4.5,2.32,1.46,4.3,6.2,3.35,
2026-2027,Bournemouth,Everton,2.02,3.45,200.0,200.0,10.0,14.1,7.0,5.0,2.0,3.4,2.8,1.93,,4.0,2.7,
2026-2027,Coventry City,Hull City,1.84,4.0,1000.0,1000.0,1.6,1.28,67.0,100.0,2.0,3.5,2.65,1.78,,4.5,2.9,
2026-2027,Spurs,Newcastle,2.17,3.0,51.0,200.0,24.4,9.15,2.6,6.0,2.0,3.5,3.35,1.86,,4.2,2.25,
2026-2027,Chelsea,Brighton,1.91,3.6,7.05,82.0,88.0,47.0,1.16,3.5,2.0,3.6,2.9,1.77,,4.5,2.6,
2026-2027,Leeds,Brentford,2.47,2.65,350.0,150.0,11.1,19.9,7.0,4.0,2.0,3.3,3.25,2.22,,3.4,2.33,
2026-2027,Sunderland,Fulham,2.42,2.8,1000.0,750.0,3.0,4.45,15.0,15.0,2.0,3.2,2.9,2.33,,3.25,2.6,
2026-2027,Man Utd,Ipswich Town,1.45,6.0,15.1,1000.0,250.0,2.0,1.5,34.0,2.0,4.4,2.26,1.46,4.4,6.2,3.5,
2026-2027,Aston Villa,Arsenal,5.8,1.49,67.0,1.91,24.4,1000.0,3.25,1.02,2.0,4.2,5.4,3.85,,2.12,1.58,
