Player Name,Score 1+ Factor,Assist Factor,F1 Yellow Card Factor,F1 Concede 2+ Goals Factor,F1 Concede 4+ Goals Factor,F1 3+ Saves Factor,F1 6+ Saves Factor
Aaron Hickey,0.46251874978798824,0.21850473038354828,0.7264197800767734,1.028014577433547,0.0,,
Aaron Ramsdale,,,,1.0841677999374857,1.2187863767044431,1.029738550275294,1.0407136016259555
Aaron Ramsey,,,,0.956399104017264,0.8917467829863011,,
Aaron Wan-Bissaka,0.1897255901340393,0.22371457491589378,0.9372601437385146,0.9515712710461699,0.0,,
AarÃ³n Anselmino,,,,1.1024538787153757,1.2484568622345864,,
Aarón Anselmino,,,,1.0379909620680423,0.9501591096766951,,
Abdallah Sima,,,,1.0144874294632984,1.0341743221988902,,
Abdoullah Ba,,,,0.9064879953666064,0.7769293562340573,,
Abduqodir Khusanov,0.30490357758805775,0.1147326239938063,0.8605788017066804,1.2076651949651291,0.0,,
Adam Armstrong,0.9384213058968992,1.2726434674417015,0.8816654884892887,0.9479821967251484,0.878988922501188,,
Adam Aznou,0.2775942457123939,0.2979679503182855,0.8574008656667846,0.9942095890595601,0.0,,
Adam Smith,0.23867718490015183,0.19332603570097123,1.0308078795737645,1.0090720801466422,0.0,,
Adam Webster,,,,1.0177638077421345,1.0355432772457402,,
Adam Wharton,0.24811807554412166,0.3865476069632221,0.6982138549265708,1.0577038614188996,0.0,,
Adama Traore,1.1210802121772323,1.4626227033146804,0.8137068973150146,1.0326409418662716,1.0254848947806492,,
Adrian Mazilu,,,,1.0144874294632984,1.0341743221988902,,
Adrien Truffert,0.39714611950443146,0.4826298040940738,0.788387817717789,1.0090720801466422,0.0,,
Ahmed Abdullahi,,,,0.9073048558649758,0.7740079162087026,,
Airidas Golambeckis,,,,1.1565317032046205,1.3519701102799588,,
Aji Alese,0.632944581688139,1.1039572122760868,1.0546594713566282,0.9083480488364504,0.7773016813530855,,
Alan Browne,,,,0.9064879953666064,0.7769293562340573,,
Albert Sambi Lokonga,,,,0.911036542168448,0.9559493420008008,,
Alejandro Garnacho,1.1077532042888403,0.6570132412742491,0.4975719890872777,0.9515725824583674,0.0,,
Alex Cairns,,,,0.9543102601305988,0.8749762865333924,0.964491600135162,0.8822095828433072
Alex Iwobi,0.8545598326770463,0.5739252792103833,0.42104832800307257,0.9485036279844429,0.0,,
Alex Jimenez,1.6511753884494809,1.4460845590802,1.267852852833924,1.0860465315513927,1.1667631318636391,,
Alex Murphy,0.632432909962345,1.1728709398551118,0.40167824086455617,1.1767110284245799,0.0,,
Alex Paulsen,,,,1.0849318685600406,1.1624987010159369,1.0064263526515362,0.9573740934086696
Alex Scott,0.4064135409027032,0.26515376227876264,1.2564765476134112,1.0058630829219422,0.0,,
Alex TÃ³th,,,,1.0016895081448611,0.8959521010367543,,
Alex Tóth,0.4008050101351064,0.572757979717045,0.6291911429123793,1.0058630829219422,0.0,,
Alexander Isak,0.970257500258372,0.39692252540190387,0.6572597861174551,1.1394094009770015,0.0,,
Alexis Mac Allister,0.6127493679370856,0.38473784574909425,0.9581934140842678,1.1293463801742172,0.0,,
Alfie McNally,,,0.42273810486651486,0.9497964330523929,0.0,0.8691568612225196,0.5746494246254297
Alfie Pond,0.63006083155311,0.4297857882569623,0.8459991301161026,0.9847393208482492,0.9919708210956868,,
Alisson Becker,,,0.5024609218699463,1.13412511830779,0.0,1.265699960973791,1.3248449426275473
Alphonse Areola,,,,1.048721304183041,1.030634207428156,1.0302205652420733,1.0879944417674108
Altay Bayindir,,,0.48151942831143035,1.0720171103706784,0.0,1.0906987392192486,0.8766089711994396
Alysson Edward Franco da Rocha dos Santos,0.7649545209585198,0.5174928729676654,0.3980791215322345,0.9515725824583674,0.0,,
Amad Diallo,0.9619157985158157,0.7411750392948513,0.5344314226657951,1.0668658862149383,0.0,,
Amadou Onana,0.252407099315571,0.4258965872041531,0.3980791215322345,0.9515725824583674,0.0,,
Amara Nallo,0.414325730234455,0.4222939378647454,0.8539977756232717,1.0819250635165958,1.1335065737681551,,
Amine Adli,1.0994081666610782,0.7747261558623044,0.9059872237818198,1.0058630829219422,0.0,,
Andre,0.3171341391486213,0.4359684746787677,1.1772350208807976,0.9846910877131394,0.9930678391187616,,
Andre Harriman-Annous,1.1550229130182317,,,0.911036542168448,0.9559493420008008,,
Andre Onana,,,,1.0932571407150498,1.1486104885007231,0.9886253363538317,0.9249162187015616
Andreas Hoelgebaum Pereira,,,,1.0326409418662716,0.9633719876263904,,
Andrew Moran,,,,1.0144874294632984,1.0341743221988902,,
Andrew Robertson,0.3922427980652006,0.6722967581365841,0.7225313152753561,1.2017544758288532,0.0,,
Andrey Santos,0.5538995935004326,0.24123167596189407,1.1030326600580553,1.0668658862149383,0.0,,
AndrÃ©s GarcÃ­a,,,,0.984431146179785,1.0352636094521943,,
Andrés García,,,0.3986549280466325,0.9515712710461699,0.0,,
Andy Irving,1.026319015660873,0.8523771761980518,0.9889575755512298,1.0475267992275743,1.0301973859536206,,
Angel Gomes,0.6782089295238628,0.8357885815176083,1.0337271592446022,0.9481221986718296,0.8840140038382185,,
Angus Gunn,,,,0.9472182111879528,0.8766155195368841,0.98109231786547,0.9062905023204236
Anthony Elanga,1.1723966165946704,0.6744058736503344,0.402346637730739,1.1730543328753686,0.0,,
Anthony Gordon,1.545039287724019,1.2081447451924148,0.8617786549574157,1.0800788493502222,1.2070281773687122,,
Anthony Patterson,,,0.3586153307333392,0.9469757646954002,0.0,1.0573696346744168,0.858186774717476
Antoine Semenyo,1.4390380712658988,0.5821848312608371,0.8018697150199842,1.1978684431170583,0.0,,
Anton Stach,0.7563550090489551,0.505957030111258,0.7868973009652644,1.0265977927264542,0.0,,
Antonee Robinson,0.4123741397943306,0.5943698363806783,0.6454582700791792,0.9515105542318472,0.0,,
Antoni Milambo,,,0.44796082966886547,1.024251020055361,0.0,,
Antony dos Santos,,,,1.0922449655260242,1.150139359911818,,
AntonÃ­n KinskÃ½,,,,1.020267823388035,1.002266562333384,0.9974891223978692,0.9462709858893128
Antonín Kinský,,,0.70556320552821,1.2007059133917615,0.0,1.0887970861057683,0.9387755967305528
AntoÃ±ito Cordero Campillo,,,,1.0408439940810994,1.131744502498197,,
Antoñito Cordero Campillo,,,,1.110939673257923,1.2459824231818462,,
Ao Tanaka,0.4638010323488876,0.23252809165853888,0.7129205802848795,1.0265977927264542,0.0,,
Archie Gray,0.26424916750925337,0.1833415380754492,0.6427607693132719,1.1987636585130603,0.0,,
Armando Broja,0.9363441708779028,0.906088593686991,0.7634764510843359,0.95559710328154,0.8845624397041106,,
Arnaud Kalimuendo,0.8389881903225442,0.2589722505159647,0.6482836055053726,1.0386931098640952,0.6729499759594673,,
Arthur Masuaku,0.168941578258195,0.103255343591779,0.3336026436738925,0.947744326959667,0.0,,
Asher Agbinone,,,,0.9599730837170968,0.9419708411016254,,
Ashley Barnes,0.9363441708779028,0.972242692810203,1.352984450210212,0.95559710328154,0.8845624397041106,,
Ashley Phillips,,,0.4462434931355507,1.2017544758288532,0.0,,
Axel Disasi,0.19374358082189047,0.03790755034933421,0.5073642636773957,1.1851487521592292,0.0,,
Axel Tuanzebe,0.5802233450271124,0.7354133498523131,0.8143428216003185,0.956437710483012,0.889281538285037,,
Ayden Heaven,0.3188789312627808,0.10775549461811379,0.8034635817457194,1.0744549282963558,0.0,,
Bafode Diakite,0.4167829849002892,0.2964209301113067,0.8551690759170458,1.0090720801466422,0.0,,
Bart Verbruggen,,,0.9587920802348098,1.088782438944816,0.0,1.0075378911357151,0.7771914077685419
Bashir Humphreys,0.807123328815441,1.0075942700020468,1.0088720348410187,0.956437710483012,0.889281538285037,,
Bastien Meupiyou Menadjou,,,,0.9847393208482492,0.9919708210956868,,
Ben Broggio,1.4191303060834657,0.942134758553652,1.001345285216723,1.0040309335025748,1.0631701999700458,,
Ben Casey,0.7389193406993411,,,0.9146407955639038,1.0471372788383806,,
Ben Davies,0.3922427980652006,0.21409679005672633,0.6576637396425322,1.2017544758288532,0.0,,
Ben Gannon-Doak,1.0256438372370504,0.4302565576514801,0.6908518623167667,1.0058630829219422,0.0,,
Ben White,0.3971956769418833,0.5680310072860769,0.7530066033687854,0.9384253487365392,0.0,,
Ben Winterburn,,,,1.0827976807240725,1.163387968961804,,
Bendito Mantato,,,0.47010206511332076,1.0668658862149383,0.0,,
Benjamin Arthur,0.6172558063365265,0.4680651342588761,0.9189687465813332,0.9874640821298444,0.9886196082159752,,
Benjamin Fredrick,,,,0.9874640821298444,0.9886196082159752,,
Benjamin Lecomte,,,0.48510119799036855,0.9497964330523929,0.0,0.8691568612225196,0.5746494246254297
Benjamin Sesko,0.9010144620721263,0.27840985200924856,0.6956128092856895,1.077842515576679,0.0,,
Benoit Badiashile,0.8548134357217617,0.7507707510215461,0.5073642636773957,1.1851487521592292,0.0,,
Bernardo Silva,0.6864176207762503,0.7595387209686042,1.2487094582140854,1.1145913309139668,1.2362374996768015,,
Bernd Leno,,,0.6004805824415449,0.9497964330523929,0.0,0.8691568612225196,0.5746494246254297
Bertrand Traore,1.3547108935841945,0.9369908664686678,0.8588396026745788,0.9064879953666064,0.7769293562340573,,
Beto,0.9173966801989177,0.20793318895835572,0.698654043804285,0.9932311777924995,0.0,,
Blondy Nna Noukeu,,,,0.9072610357140845,0.7777362549210087,0.9992528294728728,0.9700575255080256
Borna Sosa,0.3514793297392875,0.3014389561783174,0.7902699619899152,1.057853113282561,0.0,,
Boubacar Kamara,0.1851678881546816,0.135361868136838,1.0690455222954776,0.9515725824583674,0.0,,
Boubacar TraorÃ©,,,,0.998008415091146,1.000031663227234,,
Boubacar Traoré,,,,0.972579033151363,0.9537754300859403,,
Bradley Burrowes,0.5284325336786284,0.6613022742461042,0.6540131390737443,0.9515725824583674,0.0,,
Braiden Graham,,,,0.9650921486603076,0.8702307772370821,,
Brajan Gruda,1.3311157143509336,0.9516732833777604,0.9379261491851132,1.0144874294632984,1.0341743221988902,,
Brandon Austin,,,0.48010006396748484,1.2007059133917615,0.0,1.0887970861057683,0.9387755967305528
Brayden Clarke,,,,0.919323547365318,0.97035162517889,,
Brenden Aaronson,0.985198222778611,0.46354543359090705,0.5563953544194311,1.0265977927264542,0.0,,
Brennan Johnson,1.1174135843254656,0.5092188389456452,0.9509247133162145,0.9918344707102672,0.0,,
Brian Brobbey,0.8761516760563326,0.33348336049910043,1.2787676992880077,0.9480843724887134,0.0,,
Bruno Fernandes,1.2393600762617782,1.361673700598066,0.8620038564953547,1.0668658862149383,0.0,,
Bruno Guimaraes,0.6408631291629064,0.503564505793039,0.827509862381808,0.9301559943055052,0.0,,
Bryan Gil Salvatierra,,,,0.9830153266701606,0.9040353099791644,,
