type,name,name_cleaned
player,Bernardo Mota Veiga de Carvalho e Silva,Bernardo Silva
player,Jérémy Doku,Jeremy Doku
player,İlkay Gündoğan,Ilkay Gundogan
player,Sávio Moreira de Oliveira,Savinho
player,Altay Bayındır,Altay Bayindir
player,Bruno Borges Fernandes,Bruno Fernandes
player,Carlos Henrique Casimiro,Casemiro
player,Manuel Ugarte Ribeiro,Manuel Ugarte
player,Fabian Schär,Fabian Schar
player,Daniel Ballard,Dan Ballard
player,Bruno Guimarães Rodriguez Moura,Bruno Guimaraes
player,Joelinton Cássio Apolinário de Lira,Joelinton
player,Nikola Milenković,Nikola Milenkovic
player,Murillo Costa dos Santos,Murillo dos Santos
player,Pedro Porro Sauceda,Pedro Porro
player,Richarlison de Andrade,Richarlison
player,Lucas Tolentino Coelho de Lima,Lucas Paqueta
player,Niclas Füllkrug,Niclas Fullkrug
player,José Malheiro de Sá,Jose Sa
player,Jørgen Strand Larsen,Jorgen Strand Larsen
player,João Victor Gomes da Silva,Joao Gomes
player,André Trindade da Costa Neto,Andre
player,Jurriën Timber,Jurrien Timber
player,Jefferson Lerma Solís,Jefferson Lerma
player,Ibrahim Sangaré,Ibrahim Sangare
player,Matheus Santos Carneiro da Cunha,Matheus Cunha
player,Fábio Ferreira Vieira,Fabio Vieira
player,Christian Nørgaard,Christian Norgaard
player,Emiliano Martínez Romero,Emiliano Martinez
player,Julián Araujo Zúñiga,Julian Araujo
player,Diego Gómez Amarilla,Diego Gomez
player,André Onana,Andre Onana
player,Benoît Badiashile Mukinayi,Benoit Badiashile
player,Santiago Ignacio Bueno,Santiago Bueno
player,Martin Dúbravka,Martin Dubravka
player,Mikel Merino Zazón,Mikel Merino
player,Bafodé Diakité,Bafode Diakite
player,Estêvão Almeida de Oliveira Gonçalves,Estevao
player,Rodrigo Muniz Carvalho,Rodrigo Muniz
player,Nico González Iglesias,Nico Gonzalez
player,João Maria Lobo Alves Palhares Costa Palhinha Gonçalves,Joao Palhinha
player,David Møller Wolfe,David Moller Wolfe
player,Fer López González,Fer Lopez
player,Andrey Nascimento dos Santos,Andrey Santos
player,Eliezer Mayenda Dossou,Eliezer Mayenda
player,Tomáš Souček,Tomas Soucek
player,Joël Veltman,Joel Veltman
player,Marc Guiu Paz,Marc Guiu
player,Yéremy Pino Santos,Yeremy Pino
player,Rodrigo 'Rodri' Hernandez Cascante,Rodri
player,Mateus Gonçalo Espanha Fernandes,Mateus Fernandes
player,Abdukodir Khusanov,Abduqodir Khusanov
player,Joško Gvardiol,Josko Gvardiol
player,Nicolò Savona,Nicolo Savona
player,Enzo Le Fée,Enzo Le Fee
player,Ladislav Krejcí,Ladislav Krejci
player,Ferdi Kadıoğlu,Ferdi Kadioglu
player,Florentino Ibrain Morris Luís,Florentino
player,Álex Jiménez Sánchez,Alex Jimenez
player,Diogo Dalot Teixeira,Diogo Dalot
player,Alejandro Garnacho Ferreyra,Alejandro Garnacho
player,Igor Jesus Maciel da Cruz,Igor Jesus
player,Eli Junior Kroupi,Junior Kroupi
player,Douglas Luiz Soares de Paulo,Douglas Luiz
player,Hwang Hee-chan,Hwang Hee-Chan
player,Kevin Santos Lopes de Macedo,Kevin
player,Emiliano Buendía Stati,Emiliano Buendia
player,Bertrand Traoré,Bertrand Traore
player,Yerson Mosquera Valdelamar,Yerson Mosquera
player,Piero Hincapié,Piero Hincapie
player,Jamie Bynoe-Gittens,Jamie Gittens
player,Adama Traoré Diarra,Adama Traore
player,Igor Julio dos Santos de Paulo,Igor Julio
player,Luis Guilherme Lira dos Santos,Luis Guilherme
player,Nicolás Domínguez,Nicolas Dominguez
player,Victor Lindelöf,Victor Lindelof
player,Cheick Doucouré,Cheick Doucoure
player,Carlos Alcaraz Durán,Charly Alcaraz
player,Lisandro Martínez,Lisandro Martinez
player,Lucas Pires Silva,Lucas Pires
player,Gabriel Fernando de Jesus,Gabriel Jesus
player,Dominic Solanke-Mitchell,Dominic Solanke
player,Pascal Groß,Pascal Gross
player,Pablo Felipe Pereira de Jesus,Pablo
player,Chadi Riad Dnanou,Chadi Riad
player,Mateus Mané,Mateus Mane
player,Rodrigo Martins Gomes,Rodrigo Gomes
player,Radu Drăgușin,Radu Dragusin
player,Rayan Vitor Simplício Rocha,Rayan
player,Valentín Castellanos,Valentin Castellanos
player,João Victor de Souza Menezes,Joao Souza
player,Mohamadou Kanté,Mohamadou Kante
player,Mamadou Sarr,Malang Sarr
player,Abduqodir Khusanov,Abdukodir Khusanov
player,David Raya Martin,David Raya
player,Matthew Cash,Matty Cash
player,Dorde Petrovic,Djordje Petrovic
player,Tosin,Tosin Adarabioyo
player,Alisson,Alisson Becker
player,Toti,Toti Gomes
player,Jan-Paul van Hecke,Jan Paul van Hecke
player,Ehor Yarmolyuk,Yehor Yarmoliuk
player,Nico Oâ€™Reilly,Nico O'Reilly
player,Morato,Felipe Rodrigues da Silva
player,Danny Ballard,Dan Ballard
player,Ladislav Krejci II,Ladislav Krejci
player,Thiago,Igor Thiago
player,Dalot,Diogo Dalot
player,Hugo Bueno,Santiago Bueno
player,Yeremi Pino,Yeremy Pino
player,Vitaliy Mykolenko,Vitalii Mykolenko
player,Joshua King,Josh King
player,Valentino Livramento,Tino Livramento
player,Max Kilman,Maximilian Kilman
player,El Hadji Diouf,El Hadji Malick Diouf
player,Lamar Bogarde,Lamare Bogarde
player,Garnacho,Alejandro Garnacho
player,Murillo,Murillo dos Santos
player,Gabriel,Gabriel Magalhaes
player,Amadou Mvom Onana,Amadou Onana
player,Reinildo,Reinildo Mandava
player,Pape Sarr,Pape Matar Sarr
player,Emile Smith-Rowe,Emile Smith Rowe
player,Joseph Gomez,Joe Gomez
player,Joseph Willock,Joe Willock
player,Lindelof,Victor Lindelof
player,Murillo dos Santos,Murillo
player,Oliver Scarles,Ollie Scarles
player,Carlos Alcaraz,Charly Alcaraz
player,Jesus,Gabriel Jesus
player,Martinelli,Gabriel Martinelli
player,Eli Kroupi,Junior Kroupi
player,David Datro Fofana,Wesley Fofana
player,Rayan Ait-Nouri,Rayan Ait Nouri
player,Taty Castellanos,Valentin Castellanos
team,Tottenham,Spurs
team,Nottm Forest,Nott'm Forest
team,Nottingham Forest,Nott'm Forest
team,Wolverhampton,Wolves
team,Coventry,Coventry City
team,Hull,Hull City
team,Ipswich,Ipswich Town
team,Nottingham,Nott'm Forest
