Team,Gameweek,Opponent,Win,Opponent Win,Diff,Venue,F1 Score 1+,F1 Assist,F1 Yellow Card,F1 Clean Sheet,F1 Concede 2+ Goals,F1 Concede 4+ Goals,F1 3+ Saves,F1 6+ Saves
Aston Villa,GW1,Newcastle,0.40,0.33,0.08,H,0.086580087,0.045351474,0.293040293,0.25,0.422572178,0.064254523,#N/A,#N/A
Aston Villa,GW1,Newcastle,0.40,0.33,0.08,H,0.086580087,0.036630037,0.146520147,0.25,0.422572178,0.064254523,#N/A,#N/A
Aston Villa,GW1,Newcastle,0.40,0.33,0.08,H,#N/A,#N/A,#N/A,0.25,0.422572178,0.064254523,#N/A,#N/A
Aston Villa,GW1,Newcastle,0.40,0.33,0.08,H,#N/A,#N/A,#N/A,0.25,0.422572178,0.064254523,#N/A,#N/A
Aston Villa,GW1,Newcastle,0.40,0.33,0.08,H,0.119047619,0.056022409,0.272108844,0.25,0.422572178,0.064254523,#N/A,#N/A
Aston Villa,GW1,Newcastle,0.40,0.33,0.08,H,#N/A,#N/A,#N/A,0.25,0.422572178,0.064254523,#N/A,#N/A
Aston Villa,GW1,Newcastle,0.40,0.33,0.08,H,#N/A,#N/A,#N/A,0.25,0.422572178,0.064254523,#N/A,#N/A
Aston Villa,GW1,Newcastle,0.40,0.33,0.08,H,0.317460317,0.173160173,0.238095238,0.25,0.422572178,0.064254523,#N/A,#N/A
Aston Villa,GW1,Newcastle,0.40,0.33,0.08,H,0.158730159,0.158730159,0.238095238,0.25,0.422572178,0.064254523,#N/A,#N/A
Aston Villa,GW1,Newcastle,0.40,0.33,0.08,H,0.219949412,0.19047619,0.238095238,0.25,0.422572178,0.064254523,#N/A,#N/A
Aston Villa,GW1,Newcastle,0.40,0.33,0.08,H,#N/A,#N/A,#N/A,0.25,0.422572178,0.064254523,#N/A,#N/A
Aston Villa,GW1,Newcastle,0.40,0.33,0.08,H,0.211640212,0.158730159,0.307219662,0.25,0.422572178,0.064254523,#N/A,#N/A
Aston Villa,GW1,Newcastle,0.40,0.33,0.08,H,0.211640212,0.136054422,0.146520147,0.25,0.422572178,0.064254523,#N/A,#N/A
Aston Villa,GW1,Newcastle,0.40,0.33,0.08,H,0.264550265,0.146520147,0.173160173,0.25,0.422572178,0.064254523,#N/A,#N/A
Aston Villa,GW1,Newcastle,0.40,0.33,0.08,H,0.211640212,0.119047619,0.293040293,0.25,0.422572178,0.064254523,#N/A,#N/A
Aston Villa,GW1,Newcastle,0.40,0.33,0.08,H,0.211640212,0.146520147,0.238095238,0.25,0.422572178,0.064254523,#N/A,#N/A
Aston Villa,GW1,Newcastle,0.40,0.33,0.08,H,#N/A,#N/A,#N/A,0.25,0.422572178,0.064254523,#N/A,#N/A
Aston Villa,GW1,Newcastle,0.40,0.33,0.08,H,0.293040293,0.136054422,0.211640212,0.25,0.422572178,0.064254523,#N/A,#N/A
Aston Villa,GW1,Newcastle,0.40,0.33,0.08,H,0.095238095,0.086580087,0.331840053,0.25,0.422572178,0.064254523,#N/A,#N/A
Aston Villa,GW1,Newcastle,0.40,0.33,0.08,H,0.173160173,0.073260073,0.272108844,0.25,0.422572178,0.064254523,#N/A,#N/A
Aston Villa,GW1,Newcastle,0.40,0.33,0.08,H,#N/A,#N/A,#N/A,0.25,0.422572178,0.064254523,#N/A,#N/A
Aston Villa,GW1,Newcastle,0.40,0.33,0.08,H,#N/A,#N/A,#N/A,0.25,0.422572178,0.064254523,#N/A,#N/A
Aston Villa,GW1,Newcastle,0.40,0.33,0.08,H,#N/A,#N/A,#N/A,0.25,0.422572178,0.064254523,#N/A,#N/A
