Team,GW38 Opponent,GW38 Venue
Arsenal,Crystal Palace,A
Aston Villa,Man City,A
Bournemouth,Nott'm Forest,A
Brentford,Liverpool,A
Brighton,Man Utd,H
Burnley,Wolves,H
Chelsea,Sunderland,A
Crystal Palace,Arsenal,H
Everton,Spurs,A
Fulham,Newcastle,H
Leeds,West Ham,A
Liverpool,Brentford,H
Man City,Aston Villa,H
Man Utd,Brighton,A
Newcastle,Fulham,A
Nott'm Forest,Bournemouth,H
Spurs,Everton,H
Sunderland,Chelsea,H
West Ham,Leeds,H
Wolves,Burnley,A
